 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Nogetaf det, der gjorde indtryk på mig, var de ubehagelige og voldsomme begivenheder i nyere tid både under 2. verdenskrig og det efterfølgende kommuniststyre, som Ungarns historie rummer.
1-1	Noget	O	
1-2	af	O	
1-3	det	O	
1-4	,	O	
1-5	der	O	
1-6	gjorde	B-verb.act	
1-7	indtryk	B-noun.cognition	
1-8	på	O	
1-9	mig	O	
1-10	,	O	
1-11	var	O	
1-12	de	O	
1-13	ubehagelige	B-adj.social	
1-14	og	O	
1-15	voldsomme	B-adj.all	
1-16	begivenheder	B-noun.act	
1-17	i	O	
1-18	nyere	B-adj.time	
1-19	tid	B-noun.time	
1-20	både	O	
1-21	under	O	
1-22	2	O	
1-23	.	O	
1-24	verdenskrig	B-noun.act	
1-25	og	O	
1-26	det	O	
1-27	efterfølgende	B-adj.time	
1-28	kommuniststyre	B-noun.institution	
1-29	,	O	
1-30	som	O	
1-31	Ungarns	B-noun.location	
1-32	historie	B-noun.time	
1-33	rummer	B-verb.stative	
1-34	.	O	

#id=2
#text=Mødet.
2-1	Mødet	O	
2-2	.	O	

#id=3
#text=Sådanstår der på forsiden af min avis i dag.
3-1	Sådan	O	
3-2	står	O	
3-3	der	O	
3-4	på	O	
3-5	forsiden	O	
3-6	af	O	
3-7	min	O	
3-8	avis	O	
3-9	i	O	
3-10	dag	O	
3-11	.	O	

#id=4
#text=Daden første Ice Age-film kom i 2002, faldt jeg pladask (og jo, jeg har set den en del gange ).
4-1	Da	O	
4-2	den	O	
4-3	første	O	
4-4	Ice	O	
4-5	Age	O	
4-6	-	O	
4-7	film	O	
4-8	kom	O	
4-9	i	O	
4-10	2002	O	
4-11	,	O	
4-12	faldt	O	
4-13	jeg	O	
4-14	pladask	O	
4-15	(	O	
4-16	og	O	
4-17	jo	O	
4-18	,	O	
4-19	jeg	O	
4-20	har	O	
4-21	set	O	
4-22	den	O	
4-23	en	O	
4-24	del	O	
4-25	gange	O	
4-26	)	O	
4-27	.	O	

#id=5
#text=Som heldigvis inkluderer endnu en aftale ude i byen, som jeg kan cykle gennem det skønne solskin til.
5-1	Som	O	
5-2	heldigvis	O	
5-3	inkluderer	O	
5-4	endnu	O	
5-5	en	O	
5-6	aftale	O	
5-7	ude	O	
5-8	i	O	
5-9	byen	O	
5-10	,	O	
5-11	som	O	
5-12	jeg	O	
5-13	kan	O	
5-14	cykle	O	
5-15	gennem	O	
5-16	det	O	
5-17	skønne	O	
5-18	solskin	O	
5-19	til	O	
5-20	.	O	

#id=6
#text=Hun har i hvert fald også valgt en tøse en af slagsen.
6-1	Hun	O	
6-2	har	O	
6-3	i	O	
6-4	hvert	O	
6-5	fald	O	
6-6	også	O	
6-7	valgt	O	
6-8	en	O	
6-9	tøse	O	
6-10	en	O	
6-11	af	O	
6-12	slagsen	O	
6-13	.	O	

#id=7
#text=P.S.
7-1	P	O	
7-2	.	O	
7-3	S	O	
7-4	.	O	

#id=8
#text=Deter svært ikke at få en smule forårskuller, når udsynet bliver grønnere og grønnere!
8-1	Det	O	
8-2	er	O	
8-3	svært	O	
8-4	ikke	O	
8-5	at	O	
8-6	få	O	
8-7	en	O	
8-8	smule	O	
8-9	forårskuller	O	
8-10	,	O	
8-11	når	O	
8-12	udsynet	O	
8-13	bliver	O	
8-14	grønnere	O	
8-15	og	O	
8-16	grønnere	O	
8-17	!	O	

#id=9
#text=Nuvarer det ikke mange dage, før syrenerne blomstrer her.
9-1	Nu	O	
9-2	varer	O	
9-3	det	O	
9-4	ikke	O	
9-5	mange	O	
9-6	dage	O	
9-7	,	O	
9-8	før	O	
9-9	syrenerne	O	
9-10	blomstrer	O	
9-11	her	O	
9-12	.	O	

#id=10
#text=Indrømmet!
10-1	Indrømmet	O	
10-2	!	O	

#id=11
#text=Sidstesøndag brugte jeg en lille time af min dyrebare tid på at krumme mine tæer så heftigt, at min velvoksne str. 40 nær var blevet en str. 37.
11-1	Sidste	O	
11-2	søndag	O	
11-3	brugte	O	
11-4	jeg	O	
11-5	en	O	
11-6	lille	O	
11-7	time	O	
11-8	af	O	
11-9	min	O	
11-10	dyrebare	O	
11-11	tid	O	
11-12	på	O	
11-13	at	O	
11-14	krumme	O	
11-15	mine	O	
11-16	tæer	O	
11-17	så	O	
11-18	heftigt	O	
11-19	,	O	
11-20	at	O	
11-21	min	O	
11-22	velvoksne	O	
11-23	str	O	
11-24	.	O	
11-25	40	O	
11-26	nær	O	
11-27	var	O	
11-28	blevet	O	
11-29	en	O	
11-30	str	O	
11-31	.	O	
11-32	37	O	
11-33	.	O	

#id=12
#text=Detteindlæg blev udgivet den tirsdag, 23. marts 2010 kl. 16:16 og er gemt i Mad, Nydelse.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
12-1	Dette	O	
12-2	indlæg	O	
12-3	blev	O	
12-4	udgivet	O	
12-5	den	O	
12-6	tirsdag	O	
12-7	,	O	
12-8	23	O	
12-9	.	O	
12-10	marts	O	
12-11	2010	O	
12-12	kl	O	
12-13	.	O	
12-14	16	O	
12-15	:	O	
12-16	16	O	
12-17	og	O	
12-18	er	O	
12-19	gemt	O	
12-20	i	O	
12-21	Mad	O	
12-22	,	O	
12-23	Nydelse	O	
12-24	.	O	
12-25	Du	O	
12-26	kan	O	
