
#id=1
#text=Vier også optaget af ressourcer til Datatilsynet, i det hele taget er vi optaget af, at udvekslingen af persondataoplysninger kan ske på en betryggende og forsvarlig måde, og vi vil være meget, meget præcise, med hensyn til at det bliver sikret, at persondataoplysninger ikke havner hos tredjemand, som kan misbruge eller videregive dem, og at disse oplysninger i det hele taget ikke kan komme til at florere i uønskede fora.
1-1	Vi	
1-2	er	
1-3	også	
1-4	optaget	
1-5	af	
1-6	ressourcer	
1-7	til	
1-8	Datatilsynet	
1-9	,	
1-10	i	
1-11	det	
1-12	hele	
1-13	taget	
1-14	er	
1-15	vi	
1-16	optaget	
1-17	af	
1-18	,	
1-19	at	
1-20	udvekslingen	
1-21	af	
1-22	persondataoplysninger	
1-23	kan	
1-24	ske	
1-25	på	
1-26	en	
1-27	betryggende	
1-28	og	
1-29	forsvarlig	
1-30	måde	
1-31	,	
1-32	og	
1-33	vi	
1-34	vil	
1-35	være	
1-36	meget	
1-37	,	
1-38	meget	
1-39	præcise	
1-40	,	
1-41	med	
1-42	hensyn	
1-43	til	
1-44	at	
1-45	det	
1-46	bliver	
1-47	sikret	
1-48	,	
1-49	at	
1-50	persondataoplysninger	
1-51	ikke	
1-52	havner	
1-53	hos	
1-54	tredjemand	
1-55	,	
1-56	som	
1-57	kan	
1-58	misbruge	
1-59	eller	
1-60	videregive	
1-61	dem	
1-62	,	
1-63	og	
1-64	at	
1-65	disse	
1-66	oplysninger	
1-67	i	
1-68	det	
1-69	hele	
1-70	taget	
1-71	ikke	
1-72	kan	
1-73	komme	
1-74	til	
1-75	at	
1-76	florere	
1-77	i	
1-78	uønskede	
1-79	fora	
1-80	.	

#id=2
#text=Jeger ked af at sige, at hr.
2-1	Jeg	
2-2	er	
2-3	ked	
2-4	af	
2-5	at	
2-6	sige	
2-7	,	
2-8	at	
2-9	hr	
2-10	.	

#id=3
#text=Det blev derfor også det forslag, der indgik i den transportpolitiske aftale fra januar i år mellem regeringen, Dansk Folkeparti, Det Radikale Venstre og Liberal Alliance.
3-1	Det	
3-2	blev	
3-3	derfor	
3-4	også	
3-5	det	
3-6	forslag	
3-7	,	
3-8	der	
3-9	indgik	
3-10	i	
3-11	den	
3-12	transportpolitiske	
3-13	aftale	
3-14	fra	
3-15	januar	
3-16	i	
3-17	år	
3-18	mellem	
3-19	regeringen	
3-20	,	
3-21	Dansk	
3-22	Folkeparti	
3-23	,	
3-24	Det	
3-25	Radikale	
3-26	Venstre	
3-27	og	
3-28	Liberal	
3-29	Alliance	
3-30	.	

#id=4
#text=Menså vil jeg godt nævne den undersøgelse, som også hr.
4-1	Men	
4-2	så	
4-3	vil	
4-4	jeg	
4-5	godt	
4-6	nævne	
4-7	den	
4-8	undersøgelse	
4-9	,	
4-10	som	
4-11	også	
4-12	hr	
4-13	.	

#id=5
#text=Så det vil vi godt have mulighed for at drøfte lidt mere grundigt i udvalgsarbejdet.
5-1	Så	
5-2	det	
5-3	vil	
5-4	vi	
5-5	godt	
5-6	have	
5-7	mulighed	
5-8	for	
5-9	at	
5-10	drøfte	
5-11	lidt	
5-12	mere	
5-13	grundigt	
5-14	i	
5-15	udvalgsarbejdet	
5-16	.	

#id=6
#text=Det har vi allerede tidligere set, så det er ikke så interessant, men jeg vil alligevel henlede opmærksomheden på en ekspert, nemlig professor i offentlig forvaltning Poul Erik Mouritzen fra Aarhus Universitet, der siger, at vi i de seneste 5 år har set den største vækst i kravene til dokumentation, registrering, evaluering og indberetning, der nogensinde er set i Danmark.
6-1	Det	
6-2	har	
6-3	vi	
6-4	allerede	
6-5	tidligere	
6-6	set	
6-7	,	
6-8	så	
6-9	det	
6-10	er	
6-11	ikke	
6-12	så	
6-13	interessant	
6-14	,	
6-15	men	
6-16	jeg	
6-17	vil	
6-18	alligevel	
6-19	henlede	
6-20	opmærksomheden	
6-21	på	
6-22	en	
6-23	ekspert	
6-24	,	
6-25	nemlig	
6-26	professor	
6-27	i	
6-28	offentlig	
6-29	forvaltning	
6-30	Poul	
6-31	Erik	
6-32	Mouritzen	
6-33	fra	
6-34	Aarhus	
6-35	Universitet	
6-36	,	
6-37	der	
6-38	siger	
6-39	,	
6-40	at	
6-41	vi	
6-42	i	
6-43	de	
6-44	seneste	
6-45	5	
6-46	år	
6-47	har	
6-48	set	
6-49	den	
6-50	største	
6-51	vækst	
6-52	i	
6-53	kravene	
6-54	til	
6-55	dokumentation	
6-56	,	
6-57	registrering	
6-58	,	
6-59	evaluering	
6-60	og	
6-61	indberetning	
6-62	,	
6-63	der	
6-64	nogensinde	
6-65	er	
6-66	set	
6-67	i	
6-68	Danmark	
6-69	.	

#id=7
#text=Sundhedsstyrelsen har beskrevet skadevirkningerne i et notat, som jeg den 20.  april sendte til både Retsudvalget og til Sundhedsudvalget.
7-1	Sundhedsstyrelsen	
7-2	har	
7-3	beskrevet	
7-4	skadevirkningerne	
7-5	i	
7-6	et	
7-7	notat	
7-8	,	
7-9	som	
7-10	jeg	
7-11	den	
7-12	20	
7-13	.	
7-14	april	
7-15	sendte	
7-16	til	
7-17	både	
7-18	Retsudvalget	
7-19	og	
7-20	til	
7-21	Sundhedsudvalget	
7-22	.	

#id=8
#text=Så jeg synes måske ikke, at det er en helt relevant kritik at komme med, for vi er jo af forskellige holdninger.
8-1	Så	
8-2	jeg	
8-3	synes	
8-4	måske	
8-5	ikke	
8-6	,	
8-7	at	
8-8	det	
8-9	er	
8-10	en	
8-11	helt	
8-12	relevant	
8-13	kritik	
8-14	at	
8-15	komme	
8-16	med	
8-17	,	
8-18	for	
8-19	vi	
8-20	er	
8-21	jo	
8-22	af	
8-23	forskellige	
8-24	holdninger	
8-25	.	

#id=9
#text=Det blev så præsenteret af mange, som at vi havde skåret ordningen væk osv., hvilket jo simpelt hen ikke er rigtigt.
9-1	Det	
9-2	blev	
9-3	så	
9-4	præsenteret	
9-5	af	
9-6	mange	
9-7	,	
9-8	som	
9-9	at	
9-10	vi	
9-11	havde	
9-12	skåret	
9-13	ordningen	
9-14	væk	
9-15	osv	
9-16	.	
9-17	,	
9-18	hvilket	
9-19	jo	
9-20	simpelt	
9-21	hen	
9-22	ikke	
9-23	er	
9-24	rigtigt	
9-25	.	

#id=10
#text=Men der er et loft.
10-1	Men	
10-2	der	
10-3	er	
10-4	et	
10-5	loft	
10-6	.	

#id=11
#text=Og jeg har fuld tillid til, at vi i den kreds kan presse på og også opnå nogle resultater som dem, forslagsstillerne fra Socialdemokratiet ønsker, og som hr. Jørgen Poulsen ønsker.
11-1	Og	
11-2	jeg	
11-3	har	
11-4	fuld	
11-5	tillid	
11-6	til	
11-7	,	
11-8	at	
11-9	vi	
11-10	i	
11-11	den	
11-12	kreds	
11-13	kan	
11-14	presse	
11-15	på	
11-16	og	
11-17	også	
11-18	opnå	
11-19	nogle	
11-20	resultater	
11-21	som	
11-22	dem	
11-23	,	
11-24	forslagsstillerne	
11-25	fra	
11-26	Socialdemokratiet	
11-27	ønsker	
11-28	,	
11-29	og	
11-30	som	
11-31	hr	
11-32	.	
11-33	Jørgen	
11-34	Poulsen	
11-35	ønsker	
11-36	.	

#id=12
#text=Det har været en stor succes indtil nu, alt taget i betragtning.
12-1	Det	
12-2	har	
12-3	været	
12-4	en	
12-5	stor	
12-6	succes	
12-7	indtil	
12-8	nu	
12-9	,	
12-10	alt	
12-11	taget	
12-12	i	
12-13	betragtning	
12-14	.	

#id=13
#text=Så kan vi sagtens sætte os ned og finde ud af noget i et samlet Folketing - det er jeg ret overbevist om.
13-1	Så	
13-2	kan	
13-3	vi	
13-4	sagtens	
13-5	sætte	
13-6	os	
13-7	ned	
13-8	og	
13-9	finde	
13-10	ud	
13-11	af	
13-12	noget	
13-13	i	
13-14	et	
13-15	samlet	
13-16	Folketing	
13-17	-	
13-18	det	
13-19	er	
13-20	jeg	
13-21	ret	
13-22	overbevist	
13-23	om	
13-24	.	

#id=14
#text=Man kan f.eks. tage isoleringen af etageadskillelsen til en kælder eller et loft, hvor investeringen betaler sig tilbage i løbet af lad os sige 10 år.
14-1	Man	
14-2	kan	
14-3	f	
14-4	.	
14-5	eks	
14-6	.	
14-7	tage	
14-8	isoleringen	
14-9	af	
14-10	etageadskillelsen	
14-11	til	
14-12	en	
14-13	kælder	
14-14	eller	
14-15	et	
14-16	loft	
14-17	,	
14-18	hvor	
14-19	investeringen	
14-20	betaler	
14-21	sig	
14-22	tilbage	
14-23	i	
14-24	løbet	
14-25	af	
14-26	lad	
14-27	os	
14-28	sige	
14-29	10	
14-30	år	
14-31	.	

#id=15
#text=Der er nogle begrænsninger i det, som kan forstyrre de arter, som der nu er tale om her.
15-1	Der	
15-2	er	
15-3	nogle	
15-4	begrænsninger	
15-5	i	
15-6	det	
15-7	,	
15-8	som	
15-9	kan	
15-10	forstyrre	
15-11	de	
15-12	arter	
15-13	,	
15-14	som	
15-15	der	
15-16	nu	
15-17	er	
15-18	tale	
15-19	om	
15-20	her	
15-21	.	

#id=16
#text=Jegkender en minister, som stadig væk er minister, som siger, at det handler om at komme fra forskning til faktura.
16-1	Jeg	
16-2	kender	
16-3	en	
16-4	minister	
16-5	,	
16-6	som	
16-7	stadig	
16-8	væk	
16-9	er	
16-10	minister	
16-11	,	
16-12	som	
16-13	siger	
16-14	,	
16-15	at	
16-16	det	
16-17	handler	
16-18	om	
16-19	at	
16-20	komme	
16-21	fra	
16-22	forskning	
16-23	til	
16-24	faktura	
16-25	.	

#id=17
#text=Det skulle tage ca. 2 år, fra man vedtog det nede i FN, til vi i dag står her, hvor vi står, og kan tilslutte os en ratifikation af konventionen.
17-1	Det	
17-2	skulle	
17-3	tage	
17-4	ca	
17-5	.	
17-6	2	
17-7	år	
17-8	,	
17-9	fra	
17-10	man	
17-11	vedtog	
17-12	det	
17-13	nede	
17-14	i	
17-15	FN	
17-16	,	
17-17	til	
17-18	vi	
17-19	i	
17-20	dag	
17-21	står	
17-22	her	
17-23	,	
17-24	hvor	
17-25	vi	
17-26	står	
17-27	,	
17-28	og	
17-29	kan	
17-30	tilslutte	
17-31	os	
17-32	en	
17-33	ratifikation	
17-34	af	
17-35	konventionen	
17-36	.	

#id=18
#text=Det er også fint, at der er nedsat en arbejdsgruppe, selv om vi ikke rigtig kender tidsperspektivet for den her arbejdsgruppe.
18-1	Det	
18-2	er	
18-3	også	
18-4	fint	
18-5	,	
18-6	at	
18-7	der	
18-8	er	
