 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Fordelene ved mentorordningen er, at den omfatter unge uden kompetencegivende uddannelse.
1-1	Fordelene	B-noun.attribute	
1-2	ved	O	
1-3	mentorordningen	B-noun.relation	
1-4	er	O	
1-5	,	O	
1-6	at	O	
1-7	den	O	
1-8	omfatter	B-verb.stative	
1-9	unge	B-noun.person	
1-10	uden	O	
1-11	kompetencegivende	B-adj.all	
1-12	uddannelse	B-noun.cognition	
1-13	.	O	

#id=2
#text=Nu gælder det om at komme videre:
2-1	Nu	O	
2-2	gælder	O	
2-3	det	O	
2-4	om	O	
2-5	at	O	
2-6	komme	O	
2-7	videre	O	
2-8	:	O	

#id=3
#text=På den anden side kan man jo så sige, at flere tilfælde også har vist, at bedre isolering og bedre brug af energivenlige komponenter ved renoveringsprojekter faktisk også kan give et bedre indeklima, fordi det kan tætne for noget af det træk, der er i mange huse.
3-1	På	O	
3-2	den	O	
3-3	anden	O	
3-4	side	O	
3-5	kan	O	
3-6	man	O	
3-7	jo	O	
3-8	så	O	
3-9	sige	O	
3-10	,	O	
3-11	at	O	
3-12	flere	O	
3-13	tilfælde	O	
3-14	også	O	
3-15	har	O	
3-16	vist	O	
3-17	,	O	
3-18	at	O	
3-19	bedre	O	
3-20	isolering	O	
3-21	og	O	
3-22	bedre	O	
3-23	brug	O	
3-24	af	O	
3-25	energivenlige	O	
3-26	komponenter	O	
3-27	ved	O	
3-28	renoveringsprojekter	O	
3-29	faktisk	O	
3-30	også	O	
3-31	kan	O	
3-32	give	O	
3-33	et	O	
3-34	bedre	O	
3-35	indeklima	O	
3-36	,	O	
3-37	fordi	O	
3-38	det	O	
3-39	kan	O	
3-40	tætne	O	
3-41	for	O	
3-42	noget	O	
3-43	af	O	
3-44	det	O	
3-45	træk	O	
3-46	,	O	
3-47	der	O	
3-48	er	O	
3-49	i	O	
3-50	mange	O	
3-51	huse	O	
3-52	.	O	

#id=4
#text=Vi kan prøve at forestille os, at hvis nu vi gør det her lovpligtigt, nemlig at have cykelhjelm på, hvad vil det så betyde?
4-1	Vi	O	
4-2	kan	O	
4-3	prøve	O	
4-4	at	O	
