 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=52%afdanske skoleledere
1-1	52%af	O	
1-2	danske	B-adj.social	
1-3	skoleledere	B-noun.person	

#id=2
#text=marts til at hedde Drone og bliver nyt tilholdssted for elektronisk og psykedelisk musik.
2-1	marts	O	
2-2	til	O	
2-3	at	O	
2-4	hedde	O	
2-5	Drone	O	
2-6	og	O	
2-7	bliver	O	
2-8	nyt	O	
2-9	tilholdssted	O	
2-10	for	O	
2-11	elektronisk	O	
2-12	og	O	
2-13	psykedelisk	O	
2-14	musik	O	
2-15	.	O	

#id=3
#text=I øjeblikket overvejer jeg, om vores døtre efterhånden har alderen til at få den læst højt i bilen, når vi kører sydpå.
3-1	I	O	
3-2	øjeblikket	O	
3-3	overvejer	O	
3-4	jeg	O	
3-5	,	O	
3-6	om	O	
3-7	vores	O	
3-8	døtre	O	
3-9	efterhånden	O	
3-10	har	O	
3-11	alderen	O	
3-12	til	O	
3-13	at	O	
3-14	få	O	
3-15	den	O	
3-16	læst	O	
3-17	højt	O	
3-18	i	O	
3-19	bilen	O	
3-20	,	O	
3-21	når	O	
3-22	vi	O	
3-23	kører	O	
3-24	sydpå	O	
3-25	.	O	

#id=4
#text=Parret var ellers på forhånd spået gode chancer, da de i All England-kvartfinalen slog netop Koo Kien Keat og Tan Boon Heong fra Malaysia.
4-1	Parret	O	
4-2	var	O	
4-3	ellers	O	
4-4	på	O	
4-5	forhånd	O	
4-6	spået	O	
4-7	gode	O	
4-8	chancer	O	
4-9	,	O	
4-10	da	O	
4-11	de	O	
4-12	i	O	
4-13	All	O	
4-14	England	O	
4-15	-	O	
4-16	kvartfinalen	O	
4-17	slog	O	
4-18	netop	O	
4-19	Koo	O	
4-20	Kien	O	
4-21	Keat	O	
4-22	og	O	
4-23	Tan	O	
4-24	Boon	O	
4-25	Heong	O	
4-26	fra	O	
4-27	Malaysia	O	
4-28	.	O	

#id=5
#text=Jeg kan ikke sige... puff-puff..
5-1	Jeg	O	
5-2	kan	O	
5-3	ikke	O	
5-4	sige	O	
5-5	.	O	
5-6	.	O	
5-7	.	O	
5-8	puff	O	
5-9	-	O	
5-10	puff	O	
5-11	.	O	
5-12	.	O	

#id=6
#text=Kanbåde anbefales og ikke anbefales:
6-1	Kan	O	
6-2	både	O	
6-3	anbefales	O	
6-4	og	O	
6-5	ikke	O	
6-6	anbefales	O	
6-7	:	O	

#id=7
#text=Men i hele 2008 blev der kun rejst sigtelser i 11 procent af sagerne.
7-1	Men	O	
7-2	i	O	
7-3	hele	O	
7-4	2008	O	
7-5	blev	O	
7-6	der	O	
7-7	kun	O	
7-8	rejst	O	
7-9	sigtelser	O	
7-10	i	O	
7-11	11	O	
7-12	procent	O	
7-13	af	O	
7-14	sagerne	O	
7-15	.	O	

#id=8
#text=Folketingethar senest i 2010 en anledning til at gå hele den anden terrorpakke kritisk efter i sømmene.
8-1	Folketinget	O	
8-2	har	O	
8-3	senest	O	
8-4	i	O	
8-5	2010	O	
8-6	en	O	
8-7	anledning	O	
8-8	til	O	
8-9	at	O	
8-10	gå	O	
8-11	hele	O	
8-12	den	O	
8-13	anden	O	
8-14	terrorpakke	O	
8-15	kritisk	O	
8-16	efter	O	
8-17	i	O	
8-18	sømmene	O	
8-19	.	O	

#id=9
#text=Musikalskset er "It's Not Me, It's You" ikke nær så farlig og funky som sin forgænger, men med enkelte undtagelser er der tale om en popmusikalsk lydside, der afsøger ganske mange af popmusikkens kringelkroge.
9-1	Musikalsk	O	
9-2	set	O	
9-3	er	O	
9-4	"	O	
9-5	It	O	
9-6	'	O	
9-7	s	O	
9-8	Not	O	
9-9	Me	O	
9-10	,	O	
9-11	It	O	
9-12	'	O	
9-13	s	O	
9-14	You	O	
9-15	"	O	
9-16	ikke	O	
9-17	nær	O	
9-18	så	O	
9-19	farlig	O	
9-20	og	O	
9-21	funky	O	
9-22	som	O	
9-23	sin	O	
9-24	forgænger	O	
9-25	,	O	
9-26	men	O	
9-27	med	O	
9-28	enkelte	O	
9-29	undtagelser	O	
9-30	er	O	
9-31	der	O	
9-32	tale	O	
9-33	om	O	
9-34	en	O	
9-35	popmusikalsk	O	
9-36	lydside	O	
9-37	,	O	
9-38	der	O	
9-39	afsøger	O	
9-40	ganske	O	
9-41	mange	O	
9-42	af	O	
9-43	popmusikkens	O	
9-44	kringelkroge	O	
9-45	.	O	

#id=10
#text=Efter pausen kom han mere med i kombinationerne længere oppe og var god til at vende spillet i den afvekslende kamp, hvor begge hold kom hurtigt  fremad, når de fik bolden.
10-1	Efter	O	
10-2	pausen	O	
10-3	kom	O	
10-4	han	O	
10-5	mere	O	
10-6	med	O	
10-7	i	O	
10-8	kombinationerne	O	
10-9	længere	O	
10-10	oppe	O	
10-11	og	O	
10-12	var	O	
10-13	god	O	
10-14	til	O	
10-15	at	O	
10-16	vende	O	
10-17	spillet	O	
10-18	i	O	
10-19	den	O	
10-20	afvekslende	O	
10-21	kamp	O	
10-22	,	O	
10-23	hvor	O	
10-24	begge	O	
10-25	hold	O	
10-26	kom	O	
10-27	hurtigt	O	
10-28	fremad	O	
10-29	,	O	
10-30	når	O	
10-31	de	O	
10-32	fik	O	
10-33	bolden	O	
10-34	.	O	

#id=11
#text=Statsadvokatenskal igen undersøge, om politiet opfører sig ordentligt over for borgerne.
11-1	Statsadvokaten	O	
11-2	skal	O	
11-3	igen	O	
11-4	undersøge	O	
11-5	,	O	
11-6	om	O	
11-7	politiet	O	
11-8	opfører	O	
11-9	sig	O	
11-10	ordentligt	O	
11-11	over	O	
11-12	for	O	
11-13	borgerne	O	
11-14	.	O	

#id=12
#text=59år i dag.
12-1	59	O	
12-2	år	O	
12-3	i	O	
12-4	dag	O	
12-5	.	O	

#id=13
#text=Formed Liverpool-fuldtræffere af spanierne Fábio Aurélio og Xabi Alonso i en ultrakort og åndeløst fortættet sekvens i 1.
13-1	For	O	
13-2	med	O	
13-3	Liverpool	O	
13-4	-	O	
13-5	fuldtræffere	O	
13-6	af	O	
13-7	spanierne	O	
13-8	Fábio	O	
13-9	Aurélio	O	
13-10	og	O	
13-11	Xabi	O	
13-12	Alonso	O	
13-13	i	O	
13-14	en	O	
13-15	ultrakort	O	
13-16	og	O	
13-17	åndeløst	O	
13-18	fortættet	O	
13-19	sekvens	O	
13-20	i	O	
13-21	1	O	
13-22	.	O	

#id=14
#text=Carlsberg kommer med regnskab i morgen.
14-1	Carlsberg	O	
14-2	kommer	O	
14-3	med	O	
14-4	regnskab	O	
14-5	i	O	
14-6	morgen	O	
14-7	.	O	

#id=15
#text=april fået over 100.000 brugere.
15-1	april	O	
15-2	fået	O	
15-3	over	O	
15-4	100	O	
15-5	.	O	
15-6	000	O	
15-7	brugere	O	
15-8	.	O	

#id=16
#text=*
16-1	*	O	

#id=17
#text=Denschweiziske skiløber Daniel Albrecht, der har været lagt i koma tre uger siden sin ulykke i Kitzbühl i sidste måned, er blevet vækket, men lægerne på Innsbrucks universitetshospital oplyser dog, at skiløberen endnu ikke er begyndt at tale.
17-1	Den	O	
17-2	schweiziske	O	
17-3	skiløber	O	
17-4	Daniel	O	
17-5	Albrecht	O	
17-6	,	O	
17-7	der	O	
17-8	har	O	
17-9	været	O	
17-10	lagt	O	
17-11	i	O	
17-12	koma	O	
17-13	tre	O	
17-14	uger	O	
17-15	siden	O	
17-16	sin	O	
17-17	ulykke	O	
17-18	i	O	
17-19	Kitzbühl	O	
17-20	i	O	
17-21	sidste	O	
17-22	måned	O	
17-23	,	O	
17-24	er	O	
17-25	blevet	O	
17-26	vækket	O	
17-27	,	O	
17-28	men	O	
17-29	lægerne	O	
17-30	på	O	
17-31	Innsbrucks	O	
17-32	universitetshospital	O	
17-33	oplyser	O	
17-34	dog	O	
17-35	,	O	
17-36	at	O	
17-37	skiløberen	O	
17-38	endnu	O	
17-39	ikke	O	
17-40	er	O	
17-41	begyndt	O	
17-42	at	O	
17-43	tale	O	
17-44	.	O	

#id=18
#text=ritzau
18-1	ritzau	O	

#id=19
#text=Enhverhipster vil nægte at kalde sig selv hipster.
19-1	Enhver	O	
19-2	hipster	O	
19-3	vil	O	
19-4	nægte	O	
19-5	at	O	
19-6	kalde	O	
19-7	sig	O	
19-8	selv	O	
19-9	hipster	O	
19-10	.	O	

#id=20
#text=Detbehov så EU for år tilbage, og nu er der heldigvis blevet gjort noget ved det.
20-1	Det	O	
20-2	behov	O	
20-3	så	O	
20-4	EU	O	
20-5	for	O	
20-6	år	O	
20-7	tilbage	O	
20-8	,	O	
20-9	og	O	
20-10	nu	O	
20-11	er	O	
20-12	der	O	
20-13	heldigvis	O	
20-14	blevet	O	
20-15	gjort	O	
20-16	noget	O	
20-17	ved	O	
20-18	det	O	
20-19	.	O	

#id=21
#text=timerarbejder hver dansker i job mere om året end i 1995:
21-1	timer	O	
21-2	arbejder	O	
21-3	hver	O	
21-4	dansker	O	
21-5	i	O	
21-6	job	O	
21-7	mere	O	
21-8	om	O	
21-9	året	O	
21-10	end	O	
21-11	i	O	
21-12	1995	O	
21-13	:	O	

#id=22
#text="Ide 1.050.000 kr.
22-1	"	O	
22-2	I	O	
22-3	de	O	
22-4	1	O	
22-5	.	O	
22-6	050	O	
22-7	.	O	
22-8	000	O	
22-9	kr	O	
22-10	.	O	

#id=23
#text=ALGIER.
23-1	ALGIER	O	
23-2	.	O	

#id=24
#text=Når banken åbnede, skulle vi bare hæve penge ved kassen.
24-1	Når	O	
24-2	banken	O	
24-3	åbnede	O	
24-4	,	O	
24-5	skulle	O	
24-6	vi	O	
24-7	bare	O	
24-8	hæve	O	
24-9	penge	O	
24-10	ved	O	
24-11	kassen	O	
24-12	.	O	

#id=25
#text=Jeghar talt med de pågældende medarbejdere og bedt dem holde sig fra at anmelde så ligegyldige begivenheder i fremtiden.
25-1	Jeg	O	
25-2	har	O	
25-3	talt	O	
25-4	med	O	
25-5	de	O	
25-6	pågældende	O	
25-7	medarbejdere	O	
25-8	og	O	
25-9	bedt	O	
25-10	dem	O	
25-11	holde	O	
25-12	sig	O	
25-13	fra	O	
25-14	at	O	
25-15	anmelde	O	
25-16	så	O	
25-17	ligegyldige	O	
25-18	begivenheder	O	
25-19	i	O	
25-20	fremtiden	O	
25-21	.	O	

#id=26
#text="Enomsorgsfuld hård negl vender tilbage til Helmand", skrev Politiken.
26-1	"	O	
26-2	En	O	
26-3	omsorgsfuld	O	
26-4	hård	O	
26-5	negl	O	
26-6	vender	O	
26-7	tilbage	O	
26-8	til	O	
26-9	Helmand	O	
26-10	"	O	
26-11	,	O	
26-12	skrev	O	
26-13	Politiken	O	
26-14	.	O	

#id=27
#text=TV-avisens reportere Steffen Gram, Lillian Frausing Gjerulff og Claus Fahrendorff er på gaden i Washington DC og rapporterer fra den store dag.
27-1	TV	O	
27-2	-	O	
27-3	avisens	O	
27-4	reportere	O	
27-5	Steffen	O	
27-6	Gram	O	
27-7	,	O	
27-8	Lillian	O	
27-9	Frausing	O	
27-10	Gjerulff	O	
27-11	og	O	
27-12	Claus	O	
27-13	Fahrendorff	O	
27-14	er	O	
27-15	på	O	
27-16	gaden	O	
27-17	i	O	
27-18	Washington	O	
27-19	DC	O	
27-20	og	O	
27-21	rapporterer	O	
27-22	fra	O	
27-23	den	O	
27-24	store	O	
27-25	dag	O	
27-26	.	O	

#id=28
#text=Der går ikke mange år, før der bliver lavet noget nyt af nogle andre, der tænker, at nu må de kraftedeme til at tage sig sammen i Super16", siger Carsten Myllerup.
28-1	Der	O	
28-2	går	O	
28-3	ikke	O	
28-4	mange	O	
28-5	år	O	
28-6	,	O	
28-7	før	O	
28-8	der	O	
28-9	bliver	O	
28-10	lavet	O	
28-11	noget	O	
28-12	nyt	O	
28-13	af	O	
28-14	nogle	O	
28-15	andre	O	
28-16	,	O	
28-17	der	O	
28-18	tænker	O	
28-19	,	O	
28-20	at	O	
28-21	nu	O	
28-22	må	O	
28-23	de	O	
28-24	kraftedeme	O	
28-25	til	O	
28-26	at	O	
28-27	tage	O	
28-28	sig	O	
28-29	sammen	O	
28-30	i	O	
28-31	Super16	O	
28-32	"	O	
28-33	,	O	
28-34	siger	O	
28-35	Carsten	O	
28-36	Myllerup	O	
28-37	.	O	

#id=29
#text=lige indtil nu, for når skulpturen til juni genindtager sin faste plads i bybilledet, ændrer hun nok samtidig navn til ' Maren o æ lift'.
29-1	lige	O	
29-2	indtil	O	
29-3	nu	O	
29-4	,	O	
29-5	for	O	
29-6	når	O	
29-7	skulpturen	O	
29-8	til	O	
29-9	juni	O	
29-10	genindtager	O	
29-11	sin	O	
29-12	faste	O	
29-13	plads	O	
29-14	i	O	
29-15	bybilledet	O	
29-16	,	O	
29-17	ændrer	O	
29-18	hun	O	
29-19	nok	O	
29-20	samtidig	O	
29-21	navn	O	
29-22	til	O	
29-23	'	O	
29-24	Maren	O	
29-25	o	O	
29-26	æ	O	
29-27	lift	O	
29-28	'	O	
29-29	.	O	

#id=30
#text=Nu falder klokken i slag for 40 års forskning, siger vi til hinanden på stolerækkerne, men nej - det er sikkerhedsannoncering om nødudgange, gule veste og samlingssteder i tilfælde af en evakuering.
30-1	Nu	O	
30-2	falder	O	
30-3	klokken	O	
30-4	i	O	
30-5	slag	O	
30-6	for	O	
30-7	40	O	
30-8	års	O	
30-9	forskning	O	
30-10	,	O	
30-11	siger	O	
30-12	vi	O	
30-13	til	O	
30-14	hinanden	O	
30-15	på	O	
30-16	stolerækkerne	O	
30-17	,	O	
30-18	men	O	
30-19	nej	O	
30-20	-	O	
30-21	det	O	
30-22	er	O	
30-23	sikkerhedsannoncering	O	
30-24	om	O	
30-25	nødudgange	O	
30-26	,	O	
30-27	gule	O	
30-28	veste	O	
30-29	og	O	
30-30	samlingssteder	O	
30-31	i	O	
30-32	tilfælde	O	
30-33	af	O	
30-34	en	O	
30-35	evakuering	O	
30-36	.	O	

#id=31
#text=P.
31-1	P	O	
31-2	.	O	

#id=32
#text=Petri bringer
32-1	Petri	O	
32-2	bringer	O	

#id=33
#text=Pengeneer især brugt til indkøb af ekstra ammunition og udstyr til soldaterne  i Afghanistan.
33-1	Pengene	O	
33-2	er	O	
33-3	især	O	
33-4	brugt	O	
33-5	til	O	
33-6	indkøb	O	
33-7	af	O	
33-8	ekstra	O	
33-9	ammunition	O	
33-10	og	O	
33-11	udstyr	O	
33-12	til	O	
33-13	soldaterne	O	
33-14	i	O	
33-15	Afghanistan	O	
33-16	.	O	

#id=34
#text=Wagnermener, at tsunamien i Sydøstasien og oversvømmelsen af New Orleans er Guds straf over vores synder.
34-1	Wagner	O	
34-2	mener	O	
34-3	,	O	
34-4	at	O	
34-5	tsunamien	O	
34-6	i	O	
34-7	Sydøstasien	O	
34-8	og	O	
34-9	oversvømmelsen	O	
34-10	af	O	
34-11	New	O	
34-12	Orleans	O	
34-13	er	O	
34-14	Guds	O	
34-15	straf	O	
34-16	over	O	
34-17	vores	O	
34-18	synder	O	
34-19	.	O	

#id=35
#text= Men at det bliver veloplagt, tør vi godt love.
35-1	Men	O	
35-2	at	O	
35-3	det	O	
35-4	bliver	O	
35-5	veloplagt	O	
35-6	,	O	
35-7	tør	O	
35-8	vi	O	
35-9	godt	O	
35-10	love	O	
35-11	.	O	

#id=36
#text="Vihar vist i europæisk sammenhæng, at vi har været gode til at spille opgør, der afgøres over to kampe, og den erfaring vi har med herfra, skal vi  udnytte.
36-1	"	O	
36-2	Vi	O	
36-3	har	O	
36-4	vist	O	
36-5	i	O	
36-6	europæisk	O	
36-7	sammenhæng	O	
36-8	,	O	
36-9	at	O	
36-10	vi	O	
36-11	har	O	
36-12	været	O	
36-13	gode	O	
36-14	til	O	
36-15	at	O	
36-16	spille	O	
36-17	opgør	O	
36-18	,	O	
36-19	der	O	
36-20	afgøres	O	
36-21	over	O	
36-22	to	O	
36-23	kampe	O	
36-24	,	O	
36-25	og	O	
36-26	den	O	
36-27	erfaring	O	
36-28	vi	O	
36-29	har	O	
36-30	med	O	
36-31	herfra	O	
36-32	,	O	
36-33	skal	O	
36-34	vi	O	
36-35	udnytte	O	
36-36	.	O	

#id=37
#text=Udleveringen af den 89-årige John Demjanjuk, der menes at være identisk med en kzlejrchef, ' Ivan den Grusomme', nærmer sig.
37-1	Udleveringen	O	
37-2	af	O	
37-3	den	O	
37-4	89	O	
37-5	-	O	
37-6	årige	O	
37-7	John	O	
37-8	Demjanjuk	O	
37-9	,	O	
37-10	der	O	
37-11	menes	O	
37-12	at	O	
37-13	være	O	
37-14	identisk	O	
37-15	med	O	
37-16	en	O	
37-17	kzlejrchef	O	
37-18	,	O	
37-19	'	O	
37-20	Ivan	O	
37-21	den	O	
37-22	Grusomme	O	
37-23	'	O	
37-24	,	O	
37-25	nærmer	O	
37-26	sig	O	
37-27	.	O	

#id=38
#text=Jeghar sagt det før og siger det gerne igen:
38-1	Jeg	O	
38-2	har	O	
38-3	sagt	O	
38-4	det	O	
38-5	før	O	
38-6	og	O	
38-7	siger	O	
38-8	det	O	
38-9	gerne	O	
38-10	igen	O	
38-11	:	O	

#id=39
#text=Maleriet, ' Lad de små børn komme til mig', vurderes til en værdi på mellem 15 og 20 millioner kroner og betegnes som unikt i norsk kunst og kirkeverden.
39-1	Maleriet	O	
39-2	,	O	
39-3	'	O	
39-4	Lad	O	
39-5	de	O	
39-6	små	O	
39-7	børn	O	
39-8	komme	O	
39-9	til	O	
39-10	mig	O	
39-11	'	O	
39-12	,	O	
39-13	vurderes	O	
39-14	til	O	
39-15	en	O	
39-16	værdi	O	
39-17	på	O	
39-18	mellem	O	
39-19	15	O	
39-20	og	O	
39-21	20	O	
39-22	millioner	O	
39-23	kroner	O	
39-24	og	O	
39-25	betegnes	O	
39-26	som	O	
39-27	unikt	O	
39-28	i	O	
39-29	norsk	O	
39-30	kunst	O	
39-31	og	O	
39-32	kirkeverden	O	
39-33	.	O	

#id=40
#text=kommemed forslag til en skattereform, der først og fremmest skal give en "markant reduktion af skatten på arbejdsindkomst".
40-1	komme	O	
40-2	med	O	
40-3	forslag	O	
