
#id=1
#text=52%afdanske skoleledere
1-1	52%af	
1-2	danske	
1-3	skoleledere	

#id=2
#text=marts til at hedde Drone og bliver nyt tilholdssted for elektronisk og psykedelisk musik.
2-1	marts	
2-2	til	
2-3	at	
2-4	hedde	
2-5	Drone	
2-6	og	
2-7	bliver	
2-8	nyt	
2-9	tilholdssted	
2-10	for	
2-11	elektronisk	
2-12	og	
2-13	psykedelisk	
2-14	musik	
2-15	.	

#id=3
#text=I øjeblikket overvejer jeg, om vores døtre efterhånden har alderen til at få den læst højt i bilen, når vi kører sydpå.
3-1	I	
3-2	øjeblikket	
3-3	overvejer	
3-4	jeg	
3-5	,	
3-6	om	
3-7	vores	
3-8	døtre	
3-9	efterhånden	
3-10	har	
3-11	alderen	
3-12	til	
3-13	at	
3-14	få	
3-15	den	
3-16	læst	
3-17	højt	
3-18	i	
3-19	bilen	
3-20	,	
3-21	når	
3-22	vi	
3-23	kører	
3-24	sydpå	
3-25	.	

#id=4
#text=Parret var ellers på forhånd spået gode chancer, da de i All England-kvartfinalen slog netop Koo Kien Keat og Tan Boon Heong fra Malaysia.
4-1	Parret	
4-2	var	
4-3	ellers	
4-4	på	
4-5	forhånd	
4-6	spået	
4-7	gode	
4-8	chancer	
4-9	,	
4-10	da	
4-11	de	
4-12	i	
4-13	All	
4-14	England	
4-15	-	
4-16	kvartfinalen	
4-17	slog	
4-18	netop	
4-19	Koo	
4-20	Kien	
4-21	Keat	
4-22	og	
4-23	Tan	
4-24	Boon	
4-25	Heong	
4-26	fra	
4-27	Malaysia	
4-28	.	

#id=5
#text=Jeg kan ikke sige... puff-puff..
5-1	Jeg	
5-2	kan	
5-3	ikke	
5-4	sige	
5-5	.	
5-6	.	
5-7	.	
5-8	puff	
5-9	-	
5-10	puff	
5-11	.	
5-12	.	

#id=6
#text=Kanbåde anbefales og ikke anbefales:
6-1	Kan	
6-2	både	
6-3	anbefales	
6-4	og	
6-5	ikke	
6-6	anbefales	
6-7	:	

#id=7
#text=Men i hele 2008 blev der kun rejst sigtelser i 11 procent af sagerne.
7-1	Men	
7-2	i	
7-3	hele	
7-4	2008	
7-5	blev	
7-6	der	
7-7	kun	
7-8	rejst	
7-9	sigtelser	
7-10	i	
7-11	11	
7-12	procent	
7-13	af	
7-14	sagerne	
7-15	.	

#id=8
#text=Folketingethar senest i 2010 en anledning til at gå hele den anden terrorpakke kritisk efter i sømmene.
8-1	Folketinget	
8-2	har	
8-3	senest	
8-4	i	
8-5	2010	
8-6	en	
8-7	anledning	
8-8	til	
8-9	at	
8-10	gå	
8-11	hele	
8-12	den	
8-13	anden	
8-14	terrorpakke	
8-15	kritisk	
8-16	efter	
8-17	i	
8-18	sømmene	
8-19	.	

#id=9
#text=Musikalskset er "It's Not Me, It's You" ikke nær så farlig og funky som sin forgænger, men med enkelte undtagelser er der tale om en popmusikalsk lydside, der afsøger ganske mange af popmusikkens kringelkroge.
9-1	Musikalsk	
9-2	set	
9-3	er	
9-4	"	
9-5	It	
9-6	'	
9-7	s	
9-8	Not	
9-9	Me	
9-10	,	
9-11	It	
9-12	'	
9-13	s	
9-14	You	
9-15	"	
9-16	ikke	
9-17	nær	
9-18	så	
9-19	farlig	
9-20	og	
9-21	funky	
9-22	som	
9-23	sin	
9-24	forgænger	
9-25	,	
9-26	men	
9-27	med	
9-28	enkelte	
9-29	undtagelser	
9-30	er	
9-31	der	
9-32	tale	
9-33	om	
9-34	en	
9-35	popmusikalsk	
9-36	lydside	
9-37	,	
9-38	der	
9-39	afsøger	
9-40	ganske	
9-41	mange	
9-42	af	
9-43	popmusikkens	
9-44	kringelkroge	
9-45	.	

#id=10
#text=Efter pausen kom han mere med i kombinationerne længere oppe og var god til at vende spillet i den afvekslende kamp, hvor begge hold kom hurtigt  fremad, når de fik bolden.
10-1	Efter	
10-2	pausen	
10-3	kom	
10-4	han	
10-5	mere	
10-6	med	
10-7	i	
10-8	kombinationerne	
10-9	længere	
10-10	oppe	
10-11	og	
10-12	var	
10-13	god	
10-14	til	
10-15	at	
10-16	vende	
10-17	spillet	
10-18	i	
10-19	den	
10-20	afvekslende	
10-21	kamp	
10-22	,	
10-23	hvor	
10-24	begge	
10-25	hold	
10-26	kom	
10-27	hurtigt	
10-28	fremad	
10-29	,	
10-30	når	
10-31	de	
10-32	fik	
10-33	bolden	
10-34	.	

#id=11
#text=Statsadvokatenskal igen undersøge, om politiet opfører sig ordentligt over for borgerne.
11-1	Statsadvokaten	
11-2	skal	
11-3	igen	
11-4	undersøge	
11-5	,	
11-6	om	
11-7	politiet	
11-8	opfører	
11-9	sig	
11-10	ordentligt	
11-11	over	
11-12	for	
11-13	borgerne	
11-14	.	

#id=12
#text=59år i dag.
12-1	59	
12-2	år	
12-3	i	
12-4	dag	
12-5	.	

#id=13
#text=Formed Liverpool-fuldtræffere af spanierne Fábio Aurélio og Xabi Alonso i en ultrakort og åndeløst fortættet sekvens i 1.
13-1	For	
13-2	med	
13-3	Liverpool	
13-4	-	
13-5	fuldtræffere	
13-6	af	
13-7	spanierne	
13-8	Fábio	
13-9	Aurélio	
13-10	og	
13-11	Xabi	
13-12	Alonso	
13-13	i	
13-14	en	
13-15	ultrakort	
13-16	og	
13-17	åndeløst	
13-18	fortættet	
13-19	sekvens	
13-20	i	
13-21	1	
13-22	.	

#id=14
#text=Carlsberg kommer med regnskab i morgen.
14-1	Carlsberg	
14-2	kommer	
14-3	med	
14-4	regnskab	
14-5	i	
14-6	morgen	
14-7	.	

#id=15
#text=april fået over 100.000 brugere.
15-1	april	
15-2	fået	
15-3	over	
15-4	100	
15-5	.	
15-6	000	
15-7	brugere	
15-8	.	

#id=16
#text=*
16-1	*	

#id=17
#text=Denschweiziske skiløber Daniel Albrecht, der har været lagt i koma tre uger siden sin ulykke i Kitzbühl i sidste måned, er blevet vækket, men lægerne på Innsbrucks universitetshospital oplyser dog, at skiløberen endnu ikke er begyndt at tale.
17-1	Den	
17-2	schweiziske	
17-3	skiløber	
17-4	Daniel	
17-5	Albrecht	
17-6	,	
17-7	der	
17-8	har	
17-9	været	
17-10	lagt	
17-11	i	
17-12	koma	
17-13	tre	
17-14	uger	
17-15	siden	
17-16	sin	
17-17	ulykke	
17-18	i	
17-19	Kitzbühl	
17-20	i	
17-21	sidste	
17-22	måned	
17-23	,	
17-24	er	
17-25	blevet	
17-26	vækket	
17-27	,	
17-28	men	
17-29	lægerne	
17-30	på	
17-31	Innsbrucks	
17-32	universitetshospital	
17-33	oplyser	
17-34	dog	
17-35	,	
17-36	at	
17-37	skiløberen	
17-38	endnu	
