 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Ellers respekterer vi hinandens privatliv - vi banker også på, når vi besøger hinanden, siger Bodil.
1-1	Ellers	ellers	D-:----:--:u---	O	
1-2	respekterer	respektere	VF:----:sa:----	B-verb.emotion	
1-3	vi	VI	LC:--u-:--:----	O	
1-4	hinandens	hinandens	---:--:----	O	
1-5	privatliv	privatliv	NW:----:--:----	B-noun.act	
1-6	-	-	ZH	O	
1-7	vi	VI	LC:--u-:--:----	O	
1-8	banker	bank	NC:piu#:--:----	B-noun.building|B-noun.quantity|B-noun.person|B-noun.institution|B-noun.location	
1-9	også	også	D-:----:--:u---	O	
1-10	på	på	T-:----:--:----	O	
1-11	,	,	ZD	O	
1-12	når	når	CS:----:--:----	O	
1-13	vi	vi	PP:p-nc:--:-1n-	O	
1-14	besøger	besøge	VF:----:sa:----	B-verb.change|B-verb.act	
1-15	hinanden	hinanden	PC:p-u-:--:----	O	
1-16	,	,	ZD	O	
1-17	siger	sige	VF:----:sa:----	B-verb.cognition|B-verb.communication|B-verb.phenomenon	
1-18	Bodil	Bodil	NP:siu#:--:----	O	
1-19	.	.	ZP	O	

#id=2
#text=-Det var spændende at læse nyt hjemmefra.
2-1	-	-	NC:piu#:--:----	O	
2-2	Det	Det	XY:----:--:----	O	
2-3	var	være	VF:----:ta:----	B-verb.TOP|B-verb.social|B-verb.stative	
2-4	spændende	spændende	AC:§§u§:--:p---	B-adj.mental|B-adj.all	
2-5	at	at	UI:----:--:----	O	
2-6	læse	læse	VI:----:-a:----	B-verb.cognition	
2-7	nyt	ny	AD:----:--:p---	B-adj.time	
2-8	hjemmefra	hjemmefra	D-:----:--:u---	O	
2-9	.	.	ZP	O	

#id=3
#text=Selvom Anja Andersen snart er fortid i FCK Håndbold, ville hun  ikke gå glip af chancen for at sige farvel til sin gode ven Don Ø
3-1	Selv	selv	D-:----:--:u---	O	
3-2	om	om	T-:----:--:----	O	
3-3	Anja	Anja	NP:siu#:--:----	O	
3-4	Andersen	Andersen	NP:siu#:--:----	O	
3-5	snart	snart	D-:----:--:u---	O	
3-6	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
3-7	fortid	fortid	NC:siuc:--:----	B-noun.time	
3-8	i	i	T-:----:--:----	O	
3-9	FCK	FCK	NW:----:--:----	O	
3-10	Håndbold	håndbold	NC:siuc:--:----	B-noun.act|B-noun.artifact	
3-11	,	,	ZD	O	
3-12	ville	ville	VF:----:ta:----	B-verb.cognition	
3-13	hun	hun	PP:s-nc:--:-3n-	O	
3-14	ikke	ikke	D-:----:--:u---	O	
3-15	gå	gå	VI:----:-a:----	B-verb.change|B-verb.motion|B-verb.act|B-verb.stative	
3-16	glip	glip	NC:§§u§:--:----	O	
3-17	af	af	T-:----:--:----	O	
3-18	chancen	chance	NC:sduc:--:----	B-noun.TOP	
3-19	for	for	T-:----:--:----	O	
3-20	at	at	UI:----:--:----	O	
3-21	sige	sige	VI:----:-a:----	B-verb.cognition|B-verb.communication|B-verb.phenomenon	
