 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Warszawa,Stockholm, Paris.
1-1	Warszawa	Warszawa	NP:siu#:--:----	O	
1-2	,	,	ZD	O	
1-3	Stockholm	Stockholm	NP:siu#:--:----	O	
1-4	,	,	ZD	O	
1-5	Paris	Paris	NP:siu#:--:----	B-noun.quantity	
1-6	.	.	ZP	O	

#id=2
#text=Derslipper også lige et enkelt hurra ud i anledning af, at solen  (vist nok) har planer om at vise sig i dag.
2-1	Der	der	US:----:--:----	O	
2-2	slipper	slippe	VF:----:sa:----	B-motion|B-verb.act|B-verb.possession|B-verb.phenomenon	
2-3	også	også	D-:----:--:u---	O	
2-4	lige	lige	D-:----:--:u---	O	
2-5	et	en	PI:s-un:--:----	O	
2-6	enkelt	enkelt	AC:siu§:--:p---	B-adj.all	
2-7	hurra	hurra	NC:siun:--:----	O	
2-8	ud	ud	D-:----:--:u---	O	
2-9	i	i	T-:----:--:----	O	
2-10	anledning	anledning	NC:siuc:--:----	B-noun.act|B-noun.motive|B-noun.TOP	
2-11	af	af	T-:----:--:----	O	
2-12	,	,	ZD	O	
2-13	at	at	CS:----:--:----	O	
2-14	solen	sol	NC:sduc:--:----	B-noun.object|B-noun.artifact|B-noun.phenomenon|B-noun.substance	
2-15	(	(	ZD	O	
2-16	vist	vist	D-:----:--:u---	O	
2-17	nok	nok	D-:----:--:u---	O	
2-18	)	)	ZD	O	
2-19	har	have	VF:----:sa:----	B-verb.perception|B-verb.communication|B-verb.cognition|B-verb.act|B-verb.phenomenon|B-verb.TOP	
2-20	planer	plan	NC:piu#:--:----	B-noun.communication|B-noun.cognition|B-noun.artifact|B-noun.shape|B-noun.location|B-noun.TOP	
2-21	om	om	T-:----:--:----	O	
2-22	at	at	UI:----:--:----	O	
2-23	vise	vise	VI:----:-a:----	B-verb.social|B-verb.communication	
2-24	sig	sig	PP:#-u#:--:-3y-	O	
2-25	i	i	T-:----:--:----	O	
2-26	dag	dag	NC:siuc:--:----	B-noun.time	
2-27	.	.	ZP	O	

#id=3
#text=Nyddin lørdag ude eller inde.
3-1	Nyd	nyde	VM:----:--:----	B-verb.act|B-verb.emotion	
3-2	din	din	PO:s--c:--:-2ns	O	
3-3	lørdag	lørdag	NC:siuc:--:----	B-noun.time	
3-4	ude	ude	D-:----:--:u---	O	
3-5	eller	eller	CC:----:--:----	O	
3-6	inde	inde	D-:----:--:u---	O	
3-7	.	.	ZP	O	

#id=4
#text=Jeg kommer ikke til at besøge udstillingen Bodies!
4-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
4-2	kommer	komme	VF:----:sa:----	B-verb.social|B-verb.communication|B-verb.act|B-verb.motion	
4-3	ikke	ikke	D-:----:--:u---	O	
4-4	til	til	T-:----:--:----	O	
4-5	at	at	UI:----:--:----	O	
4-6	besøge	besøge	VI:----:-a:----	B-verb.change|B-verb.act	
4-7	udstillingen	udstilling	NC:sduc:--:----	B-noun.act	
4-8	Bodies	Bodies	NP:siu#:--:----	O	
4-9	!	!	ZP	O	

#id=5
#text=Tags:foto, glædelig jul, jul
5-1	Tags	tag	NC:piu#:--:----	B-noun.act|B-noun.feeling|B-noun.artifact	
5-2	:	:	ZP	O	
5-3	foto	foto	NC:siun:--:----	B-noun.act|B-noun.artifact	
5-4	,	,	ZD	O	
5-5	glædelig	glædelig	AC:siuc:--:p---	O	
5-6	jul	jul	NC:siuc:--:----	B-noun.time	
5-7	,	,	ZD	O	
5-8	jul	jul	NC:siuc:--:----	B-noun.time	

#id=6
#text=Derer ingen katte ude at lege.
6-1	Der	der	US:----:--:----	O	
6-2	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
6-3	ingen	ingen	PI:s-uc:--:----	O	
6-4	katte	kat	NC:piu#:--:----	B-noun.animal|B-noun.communication	
6-5	ude	ude	D-:----:--:u---	O	
6-6	at	at	UI:----:--:----	O	
6-7	lege	lege	VI:----:-a:----	B-verb.act	
6-8	.	.	ZP	O	

#id=7
#text=Detteindlæg blev udgivet den torsdag, 10. april 2008 kl. 14:16 og er gemt i Privatliv, Unødvendigheder.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
7-1	Dette	denne	PM:s-un:--:----	O	
7-2	indlæg	indlæg	NC:siun:--:----	B-noun.act|B-noun.artifact|B-noun.communication	
7-3	blev	blive	VF:----:ta:----	B-verb.TOP|B-verb.act|B-verb.stative	
7-4	udgivet	udgive	VT:siu#:t-:----	B-verb.communication	
7-5	den	den	PM:s-uc:--:----	O	
7-6	torsdag	torsdag	NC:siuc:--:----	B-noun.time	
7-7	,	,	ZD	O	
7-8	10	10	LC:--u-:--:----	O	
7-9	.	.	ZP	O	
7-10	april	april	NC:siuc:--:----	B-noun.time	
7-11	2008	2008	LC:--u-:--:----	O	
7-12	kl	kl	XS:----:--:----	O	
7-13	.	.	ZP	O	
7-14	14	14	LC:--u-:--:----	O	
7-15	:	:	ZP	O	
7-16	16	16	LC:--u-:--:----	O	
7-17	og	og	CC:----:--:----	O	
7-18	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
7-19	gemt	gemme	VT:siu#:t-:----	B-verb.motion	
7-20	i	i	T-:----:--:----	O	
7-21	Privatliv	privatliv	NC:siun:--:----	B-noun.act	
7-22	,	,	ZD	O	
7-23	Unødvendigheder	Unødvendigheder	NP:siu#:--:----	O	
7-24	.	.	ZP	O	
7-25	Du	du	PP:s-nc:--:-2n-	O	
7-26	kan	kunne	VF:----:sa:----	B-verb.social	
7-27	følge	følge	VI:----:-a:----	B-verb.motion	
7-28	alle	al	PI:p-u#:--:----	O	
7-29	svar	svar	NC:piu#:--:----	B-noun.communication|B-noun.act|B-noun.person|B-noun.cognition	
7-30	til	til	T-:----:--:----	O	
7-31	dette	denne	PM:s-un:--:----	O	
7-32	indlæg	indlæg	NC:siun:--:----	B-noun.act|B-noun.artifact|B-noun.communication	
7-33	via	via	T-:----:--:----	O	
7-34	RSS	rss	XS:----:--:----	O	
7-35	2	2	LC:--u-:--:----	O	
7-36	.	.	ZP	O	
7-37	0	0	LC:--u-:--:----	O	
7-38	-	-	ZH	O	
7-39	feedet	feed	NC:sdun:--:----	O	
7-40	.	.	ZP	O	

#id=8
#text=Og strømper mig der ellers er vild med bare tæer.
8-1	Og	og	CC:----:--:----	O	
8-2	strømper	strømpe	NC:piu#:--:----	B-noun.artifact	
8-3	mig	mig	NC:siun:--:----	O	
8-4	der	der	US:----:--:----	O	
8-5	ellers	ellers	D-:----:--:u---	O	
8-6	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
8-7	vild	vild	AD:----:--:p---	B-adj.phys|B-adj.mental	
8-8	med	med	T-:----:--:----	O	
8-9	bare	bar	AC:p#u#:--:p---	B-adj.phys	
8-10	tæer	tå	NC:piu#:--:----	B-noun.body|B-noun.artifact	
8-11	.	.	ZP	O	

#id=9
#text=Herhar jeg fem dokumentarbøger på samvittigheden, lige såvel som jeg lægger navn til oversættelsen af to norske(!) kogebøger.
9-1	Her	her	D-:----:--:u---	O	
9-2	har	have	VF:----:sa:----	B-verb.perception|B-verb.cognition|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.TOP	
9-3	jeg	jeg	PP:s-nc:--:-1n-	O	
9-4	fem	fem	LC:--u-:--:----	O	
9-5	dokumentarbøger	dokumentarbog	NC:piu#:--:----	O	
9-6	på	på	T-:----:--:----	O	
9-7	samvittigheden	samvittighed	NC:sduc:--:----	B-noun.feeling	
9-8	,	,	ZD	O	
9-9	lige	lige	D-:----:--:u---	O	
9-10	såvel	såvel	CC:----:--:----	O	
9-11	som	som	US:----:--:----	O	
9-12	jeg	jeg	PP:s-nc:--:-1n-	O	
9-13	lægger	lægge	VF:----:sa:----	B-verb.motion|B-verb.act|B-verb.cognition	
9-14	navn	navn	NC:siun:--:----	B-noun.communication|B-noun.person|B-noun.attribute	
9-15	til	til	T-:----:--:----	O	
9-16	oversættelsen	oversættelse	NC:sduc:--:----	B-noun.communication	
9-17	af	af	T-:----:--:----	O	
9-18	to	to	LC:--u-:--:----	O	
9-19	norske	norsk	AC:p#u#:--:p---	B-adj.social	
9-20	(	(	ZD	O	
9-21	!	!	ZP	O	
9-22	)	)	ZD	O	
9-23	kogebøger	kogebøger	NC:piu#:--:----	B-noun.communication	
9-24	.	.	ZP	O	

#id=10
#text=Deteneste, vi endnu ikke er enige om, er, hvem der skal sætte fod på  juletræet (måske skal vi bare lægge det ned, det ville da være alternativt ), men den diskussion tør jeg slet ikke skrive mere om så jeg smutter igen.
10-1	Det	den	PM:s-un:--:----	O	
10-2	eneste	eneste	AC:§§u§:--:p---	O	
10-3	,	,	ZD	O	
10-4	vi	vi	PP:p-nc:--:-1n-	O	
10-5	endnu	endnu	D-:----:--:u---	O	
10-6	ikke	ikke	D-:----:--:u---	O	
10-7	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
10-8	enige	enig	AC:p#u#:--:p---	B-adj.mental	
10-9	om	om	T-:----:--:----	O	
10-10	,	,	ZD	O	
10-11	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
10-12	,	,	ZD	O	
10-13	hvem	hvem	PR:#-uc:--:----	O	
10-14	der	der	US:----:--:----	O	
10-15	skal	skulle	VF:----:sa:----	B-verb.motion|B-verb.phenomenon	
10-16	sætte	sætte	-:-a:----	B-verb.motion|B-verb.act|B-verb.communication|B-verb.change|B-verb.cognition|B-verb.phenomenon	
10-17	fod	fod	NC:piu#:--:----	B-noun.object|B-noun.artifact|B-noun.body|B-noun.quantity|B-noun.communication	
10-18	på	på	T-:----:--:----	O	
10-19	juletræet	juletræ	NC:sdun:--:----	B-noun.act|B-noun.plant	
10-20	(	(	ZD	O	
10-21	måske	måske	D-:----:--:u---	O	
10-22	skal	skulle	VF:----:sa:----	B-verb.motion|B-verb.phenomenon	
10-23	vi	vi	PP:p-nc:--:-1n-	O	
10-24	bare	bare	D-:----:--:u---	O	
10-25	lægge	lægge	VI:----:-a:----	B-verb.motion|B-verb.act|B-verb.cognition	
