 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Forslagsstillerneerkender, at udligningsordningerne er uhyre vanskeligt stof, og at det kan være svært at opnå balancen ved kun at kigge på udligningen.
1-1	Forslagsstillerne	B-noun.person	forslagsstiller	NC:pdu#:--:----	
1-2	erkender	B-verb.cognition|B-verb.communication	erkende	VF:----:sa:----	
1-3	,	O	,	ZD	
1-4	at	O	at	CS:----:--:----	
1-5	udligningsordningerne	B-noun.motive	udligningsordning	NC:pdu#:--:----	
1-6	er	B-verb.TOP|B-verb.social|B-verb.stative	være	-	
1-7	uhyre	B-adj.phys	uhyre	AD:----:--:p---	
1-8	vanskeligt	B-adj.social|B-adj.all	vanskelig	AC:siun:--:p---	
1-9	stof	B-noun.cognition|B-noun.artifact|B-noun.substance|B-noun.attribute	stof	NC:siun:--:----	
1-10	,	O	,	ZD	
1-11	og	O	og	CC:----:--:----	
1-12	at	O	at	CS:----:--:----	
1-13	det	O	det	PP:s-un:--:-3n-	
1-14	kan	B-verb.social	kunne	VF:----:sa:----	
1-15	være	B-verb.TOP|B-verb.social|B-verb.stative	være	VI:----:-a:----	
1-16	svært	B-adj.all	svær	AC:siun:--:p---	
1-17	at	O	at	UI:----:--:----	
1-18	opnå	B-verb.act	opnå	VI:----:-a:----	
1-19	balancen	B-noun.attribute|B-noun.state|B-noun.phenomenon|B-noun.cognition|B-noun.quantity	balance	NC:sduc:--:----	
1-20	ved	B-verb.cognition|B-verb.emotion	vide	VF:----:sa:----	
1-21	kun	O	kun	D-:----:--:u---	
1-22	at	O	at	UI:----:--:----	
1-23	kigge	B-verb.phenomenon|B-verb.act|B-verb.communication|B-verb.cognition	kigge	VI:----:-a:----	
1-24	på	O	på	T-:----:--:----	
1-25	udligningen	O	udligning	NC:sduc:--:----	
1-26	.	O	.	ZP	

#id=2
#text=Iforhold til det konkrete lovforslag, vi står med her, synes jeg faktisk, det ville have været hensigtsmæssigt, hvis ordførerne på det tidspunkt, hvor vi gennemgik det her lovforslag, havde gjort opmærksom på, at der i øvrigt lige var nogle ting, de gerne ville have med.
2-1	I	O	i	T-:----:--:----	
2-2	forhold	B-noun.quantity|B-noun.attribute|B-noun.relation|B-noun.act	forhold	NC:siun:--:----	
2-3	til	O	til	T-:----:--:----	
2-4	det	O	den	PM:s-un:--:----	
2-5	konkrete	B-adj.all	konkret	AC:sdu#:--:p---	
2-6	lovforslag	B-noun.act	lovforslag	NC:siun:--:----	
2-7	,	O	,	ZD	
2-8	vi	O	vi	PP:p-nc:--:-1n-	
2-9	står	B-verb.stative|B-verb.emotion|B-verb.communication|B-verb.act|B-verb.motion	stå	VF:----:sa:----	
2-10	med	O	med	D-:----:--:u---	
2-11	her	O	her	D-:----:--:u---	
2-12	,	O	,	ZD	
2-13	synes	B-verb.stative|B-verb.cognition	syne	VF:----:sp:----	
2-14	jeg	O	jeg	PP:s-nc:--:-1n-	
2-15	faktisk	B-adj.phys	faktisk	AD:----:--:p---	
2-16	,	O	,	ZD	
2-17	det	O	det	PP:s-un:--:-3n-	
2-18	ville	B-verb.cognition	ville	VF:----:ta:----	
2-19	have	B-verb.perception|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.cognition|B-verb.TOP	have	VI:----:-a:----	
2-20	været	B-verb.TOP|B-verb.social|B-verb.stative	være	VT:siu#:t-:----	
2-21	hensigtsmæssigt	O	hensigtsmæssig	AD:----:--:p---	
2-22	,	O	,	ZD	
2-23	hvis	O	hvis	CS:----:--:----	
2-24	ordførerne	B-noun.person	ordfører	NC:pdu#:--:----	
2-25	på	O	på	T-:----:--:----	
2-26	det	O	den	PM:s-un:--:----	
