 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Fordelene ved mentorordningen er, at den omfatter unge uden kompetencegivende uddannelse.
1-1	Fordelene	B-noun.attribute	fordel	NC:pdu#:--:----	
1-2	ved	O	ved	T-:----:--:----	
1-3	mentorordningen	O	mentorordning	NC:sduc:--:----	
1-4	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
1-5	,	O	,	ZD	
1-6	at	O	at	CS:----:--:----	
1-7	den	O	den	PP:s-uc:--:-3n-	
1-8	omfatter	B-verb.stative	omfatte	VF:----:sa:----	
1-9	unge	B-noun.animal|B-noun.person	unge	NC:siuc:--:----	
1-10	uden	O	uden	T-:----:--:----	
1-11	kompetencegivende	O	kompetencegivende	AD:----:--:p---	
1-12	uddannelse	B-noun.act	uddannelse	NC:siuc:--:----	
1-13	.	O	.	ZP	

#id=2
#text=Nu gælder det om at komme videre:
2-1	Nu	O	nu	D-:----:--:u---	
2-2	gælder	B-verb.stative	gælde	----	
2-3	det	O	det	PP:s-un:--:-3n-	
2-4	om	O	om	T-:----:--:----	
2-5	at	O	at	UI:----:--:----	
2-6	komme	B-verb.social|B-verb.act|B-verb.communication|B-verb.motion	komme	VI:----:-a:----	
2-7	videre	O	videre	D-:----:--:u---	
2-8	:	O	:	ZP	

#id=3
#text=På den anden side kan man jo så sige, at flere tilfælde også har vist, at bedre isolering og bedre brug af energivenlige komponenter ved renoveringsprojekter faktisk også kan give et bedre indeklima, fordi det kan tætne for noget af det træk, der er i mange huse.
3-1	På	O	på	T-:----:--:----	
3-2	den	O	den	PM:s-uc:--:----	
3-3	anden	O	to	LO:--uc:--:----	
3-4	side	B-noun.communication|B-noun.person|B-noun.attribute|B-noun.object|B-noun.cognition|B-noun.location|B-noun.motive	side	NC:siuc:--:----	
3-5	kan	B-verb.social	kunne	VF:----:sa:----	
3-6	man	O	man	PI:#-uc:--:----	
3-7	jo	O	jo	D-:----:--:u---	
3-8	så	O	så	D-:----:--:u---	
3-9	sige	B-verb.cognition|B-verb.communication|B-verb.phenomenon	sige	VI:----:-a:----	
3-10	,	O	,	ZD	
3-11	at	O	at	CS:----:--:----	
3-12	flere	O	mange	AC:##u#:--:c---	
3-13	tilfælde	B-noun.act|B-noun.person	tilfælde	NC:piu#:--:----	
3-14	også	O	også	D-:----:--:u---	
3-15	har	B-verb.perception|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.cognition|B-verb.TOP	have	VF:----:sa:----	
3-16	vist	B-verb.social|B-verb.communication	vise	VT:siu#:t-:----	
3-17	,	O	,	ZD	
3-18	at	O	at	CS:----:--:----	
3-19	bedre	B-adj.all	god	AC:##u#:--:c---	
3-20	isolering	B-noun.artifact|B-noun.phenomenon	isolering	NC:siuc:--:----	
3-21	og	O	og	CC:----:--:----	
3-22	bedre	B-adj.all	god	AC:##u#:--:c---	
3-23	brug	B-noun.building|B-noun.attribute|B-noun.act|B-noun.cognition	brug	NC:siuc:--:----	
3-24	af	O	af	T-:----:--:----	
3-25	energivenlige	O	energivenlig	AC:p#u#:--:p---	
