 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=ritzau.
1-1	ritzau	ritzau	XF:----:--:----	O	
1-2	.	.	ZP	O	

#id=2
#text=Han er nummer 63 med 2.660.
2-1	Han	han	PP:s-nc:--:-3n-	O	
2-2	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
2-3	nummer	nummer	NC:siun:--:----	B-noun.communication|B-noun.quantity|B-noun.artifact|B-noun.act	
2-4	63	63	LC:--u-:--:----	O	
2-5	med	med	T-:----:--:----	O	
2-6	2	2	LC:--u-:--:----	O	
2-7	.	.	ZP	O	
2-8	660	660	LC:--u-:--:----	O	
2-9	.	.	ZP	O	

#id=3
#text=I sin lægepraksis insisterede hun på, at alle patienter bør have samme behandling, sorte som hvide, rige som fattige, en indstilling, som var svær at acceptere i 1940 i USA.
3-1	I	i	T-:----:--:----	O	
3-2	sin	sin	PO:s--c:--:-3ys	O	
3-3	lægepraksis	lægepraksis	NC:siuc:--:----	B-noun.institution|B-noun.building	
3-4	insisterede	insistere	VF:----:ta:----	B-verb.act	
3-5	hun	hun	PP:s-nc:--:-3n-	O	
3-6	på	på	T-:----:--:----	O	
3-7	,	,	ZD	O	
3-8	at	at	CS:----:--:----	O	
3-9	alle	al	PI:p-u#:--:----	O	
3-10	patienter	patient	NC:piu#:--:----	B-noun.person	
3-11	bør	burde	VF:----:sa:----	B-verb.TOP	
3-12	have	have	VI:----:-a:----	B-verb.perception|B-verb.communication|B-verb.phenomenon|B-verb.act|B-verb.cognition|B-verb.TOP	
3-13	samme	samme	AC:§§u§:--:p---	O	
3-14	behandling	behandling	NC:siuc:--:----	B-noun.act	
3-15	,	,	ZD	O	
3-16	sorte	sort	AC:p#u#:--:p---	B-adj.phys|B-adj.all	
3-17	som	som	US:----:--:----	O	
3-18	hvide	hvid	AC:p#u#:--:p---	O	
3-19	,	,	ZD	O	
3-20	rige	rig	AC:p#u#:--:p---	B-adj.all|B-adj.phys	
3-21	som	som	----:--:----	O	
3-22	fattige	fattig	AC:p#u#:--:p---	B-adj.phys|B-adj.all	
3-23	,	,	ZD	O	
3-24	en	en	PI:s-uc:--:----	O	
3-25	indstilling	indstilling	NC:siuc:--:----	B-noun.cognition|B-noun.phenomenon	
3-26	,	,	ZD	O	
3-27	som	som	US:----:--:----	O	
3-28	var	være	VF:----:ta:----	B-verb.TOP|B-verb.social|B-verb.stative	
3-29	svær	svær	AC:siuc:--:p---	B-adj.all	
3-30	at	at	UI:----:--:----	O	
3-31	acceptere	acceptere	VI:----:-a:----	B-verb.cognition|B-verb.communication	
3-32	i	i	T-:----:--:----	O	
3-33	1940	1940	LC:--u-:--:----	O	
3-34	i	i	T-:----:--:----	O	
3-35	USA	USA	NP:siu#:--:----	O	
3-36	.	.	ZP	O	

#id=4
#text=Etaf de store comebacks i 2008 stod Jørgen Leth for.
4-1	Et	en	PI:s-un:--:----	O	
4-2	af	af	T-:----:--:----	O	
