 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=*Finder allerede bræk-spanden frem* lol, jeg skulle ikke snakke:
1-1	*Finder	*Finder	NP:siu#:--:----	O	
1-2	allerede	allerede	D-:----:--:u---	O	
1-3	bræk	bræk	NW:----:--:----	B-noun.act	
1-4	-	-	ZH	O	
1-5	spanden	spand	NC:sduc:--:----	B-noun.quantity|B-noun.vehicle|B-noun.container	
1-6	frem*	frem*	NP:siu#:--:----	O	
1-7	lol	lol	NC:siuc:--:----	O	
1-8	,	,	ZD	O	
1-9	jeg	jeg	PP:s-nc:--:-1n-	O	
1-10	skulle	skulle	VF:----:ta:----	B-verb.phenomenon	
1-11	ikke	ikke	D-:----:--:u---	O	
1-12	snakke	snakke	VI:----:-a:----	B-verb.communication	
1-13	:	:	ZP	O	

#id=2
#text=Er vidst mere til... noget mindre dansk
2-1	Er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
2-2	vidst	vide	VT:siu#:t-:----	B-verb.cognition|B-verb.emotion	
2-3	mere	megen	AC:##u#:--:c---	O	
2-4	til	til	T-:----:--:----	O	
2-5	.	.	ZP	O	
2-6	.	.	ZP	O	
2-7	.	.	ZP	O	
2-8	noget	en	PI:s-un:--:----	O	
2-9	mindre	liden	AD:----:--:c---	B-adj.phys	
2-10	dansk	dansk	AC:siu§:--:p---	B-adj.social|B-adj.phys	

#id=3
#text=Ret synd.
3-1	Ret	ret	D-:----:--:u---	O	
3-2	synd	synd	AC:§§u§:--:p---	O	
3-3	.	.	ZP	O	

#id=4
#text=Nærmere www.kseniaerdapaininthehole.biz :-))
4-1	Nærmere	Nærmere	XY:----:--:----	O	
4-2	www	www	XS:----:--:----	O	
4-3	.	.	ZP	O	
4-4	kseniaerdapaininthehole	kseniaerdapaininthehole	XF:----:--:----	O	
4-5	.	.	ZP	O	
4-6	biz	biZ	NC:siun:--:----	O	
4-7	:	:	ZP	O	
4-8	-	-	ZH	O	
4-9	)	)	ZD	O	
4-10	)	)	ZD	O	

#id=5
#text=I can do better! ;)
5-1	I	I	XF:----:--:----	O	
5-2	can	Can	XF:----:--:----	O	
5-3	do	do	NC:siun:--:----	O	
5-4	better	better	NC:siuc:--:----	O	
5-5	!	!	ZP	O	
5-6	;	;	ZP	O	
5-7	)	)	ZD	O	

#id=6
#text=Oghallo!!
6-1	Og	og	CC:----:--:----	O	
6-2	hallo	hallo	NC:siun:--:----	O	
6-3	!	!	ZP	O	
6-4	!	!	ZP	O	

#id=7
#text=Bonjour...
7-1	Bonjour	Bonjour	NP:siu#:--:----	O	
7-2	.	.	ZP	O	
7-3	.	.	ZP	O	
7-4	.	.	ZP	O	

#id=8
#text=Ved ikke hvorfor, det er ikke fordi at jeg behøver det store af vækkeur (har 1, men vågner altid ligefør det skal til at ringe.. :-)) underligt noget René
8-1	Ved	vide	VF:----:sa:----	B-verb.cognition|B-verb.emotion	
8-2	ikke	ikke	D-:----:--:u---	O	
8-3	hvorfor	hvorfor	D-:----:--:u---	O	
8-4	,	,	ZD	O	
8-5	det	det	PP:s-un:--:-3n-	O	
8-6	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
8-7	ikke	ikke	D-:----:--:u---	O	
8-8	fordi	fordi	CS:----:--:----	O	
8-9	at	at	CS:----:--:----	O	
8-10	jeg	jeg	PP:s-nc:--:-1n-	O	
8-11	behøver	behøve	VF:----:sa:----	B-verb.stative|B-verb.phenomenon	
8-12	det	den	PM:s-un:--:----	O	
8-13	store	stor	AC:sdu#:--:p---	B-adj.phys	
8-14	af	af	T-:----:--:----	O	
8-15	vækkeur	vækkeur	NC:siun:--:----	B-noun.artifact	
8-16	(	(	ZD	O	
8-17	har	have	VF:----:sa:----	B-verb.perception|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.cognition|B-verb.TOP	
8-18	1	1	LC:--u-:--:----	O	
8-19	,	,	ZD	O	
8-20	men	men	CC:----:--:----	O	
8-21	vågner	vågne	VF:----:sa:----	B-verb.change|B-verb.phenomenon	
8-22	altid	altid	D-:----:--:u---	O	
8-23	ligefør	ligefør	CS:----:--:----	O	
8-24	det	det	PP:s-un:--:-3n-	O	
8-25	skal	skulle	VF:----:sa:----	B-verb.motion|B-verb.phenomenon	
8-26	til	til	T-:----:--:----	O	
8-27	at	at	UI:----:--:----	O	
8-28	ringe	ringe	VI:----:-a:----	B-verb.phenomenon|B-verb.communication|B-verb.act|B-verb.change	
8-29	.	.	ZP	O	
8-30	.	.	ZP	O	
8-31	:	:	ZP	O	
8-32	-	-	ZH	O	
8-33	)	)	ZD	O	
8-34	)	)	ZD	O	
8-35	underligt	underlig	AD:----:--:p---	O	
