
#id=1
#text=Colourwalk", "One Piece Red:
1-1	Colourwalk	
1-2	"	
1-3	,	
1-4	"	
1-5	One	
1-6	Piece	
1-7	Red	
1-8	:	

#id=2
#text=Jegkunne godt lide...RAMEN NINJAS!
2-1	Jeg	
2-2	kunne	
2-3	godt	
2-4	lide	
2-5	.	
2-6	.	
2-7	.	
2-8	RAMEN	
2-9	NINJAS	
2-10	!	

#id=3
#text=Okayjeg skulle bare lige høre...
3-1	Okay	
3-2	jeg	
3-3	skulle	
3-4	bare	
3-5	lige	
3-6	høre	
3-7	.	
3-8	.	
3-9	.	

#id=4
#text=FaraosCigarer sælger hele serien på tilbud for 129 kr. for tiden - det er ca. 16 kr. pr. bind!
4-1	Faraos	
4-2	Cigarer	
4-3	sælger	
4-4	hele	
4-5	serien	
4-6	på	
4-7	tilbud	
4-8	for	
4-9	129	
4-10	kr	
4-11	.	
4-12	for	
4-13	tiden	
4-14	-	
4-15	det	
4-16	er	
4-17	ca	
4-18	.	
4-19	16	
4-20	kr	
4-21	.	
4-22	pr	
4-23	.	
4-24	bind	
4-25	!	

#id=5
#text=Juhuuu!!endelig er forumet oppe :D Glæder mig FscKED op meget til siden er klar :)
5-1	Juhuuu	
5-2	!	
5-3	!	
5-4	endelig	
5-5	er	
5-6	forumet	
5-7	oppe	
5-8	:	
5-9	D	
5-10	Glæder	
5-11	mig	
5-12	FscKED	
5-13	op	
5-14	meget	
5-15	til	
5-16	siden	
5-17	er	
5-18	klar	
5-19	:	
5-20	)	

#id=6
#text=Bleach:
6-1	Bleach	
6-2	:	

#id=7
#text=Skal man Blane sit sidedeck...
7-1	Skal	
7-2	man	
7-3	Blane	
7-4	sit	
7-5	sidedeck	
7-6	.	
7-7	.	
7-8	.	

#id=8
#text=Nej,jeg mener, Sasuke og Narutos situation.
8-1	Nej	
8-2	,	
8-3	jeg	
8-4	mener	
8-5	,	
8-6	Sasuke	
8-7	og	
8-8	Narutos	
8-9	situation	
8-10	.	

#id=9
#text=Mener du ikke omvendt? - der er jo næsten kun udkommet shounen-manga i Danmark.
9-1	Mener	
9-2	du	
9-3	ikke	
9-4	omvendt	
9-5	?	
9-6	-	
9-7	der	
9-8	er	
9-9	jo	
9-10	næsten	
9-11	kun	
9-12	udkommet	
9-13	shounen	
9-14	-	
9-15	manga	
9-16	i	
9-17	Danmark	
9-18	.	

#id=10
#text=Jeg er ikke helt færdig med den, men jeg arbejder hårdt på at finde de rigtige ord så sætningen giver mening. fuun= uheldig/uheldigt/ond (dårlig) skæbne/ skæbne fuun = "hmm" på dansk densetsu:legende (legendarisk) shoukin=dusør kubi=hals (i dette tilfælde en dusør på hans hoved) onime no kyou=Kyo med dæmonøjnene nani nani=?????? te ni ha go shaku= at få/komme i besiddelse af te ni ha = i hånden go shaku = 5 shaku (ca lig med 1,5 meter) oodachi= kæmpesværd
10-1	Jeg	
10-2	er	
10-3	ikke	
10-4	helt	
10-5	færdig	
10-6	med	
10-7	den	
10-8	,	
10-9	men	
10-10	jeg	
10-11	arbejder	
10-12	hårdt	
10-13	på	
10-14	at	
10-15	finde	
10-16	de	
10-17	rigtige	
10-18	ord	
10-19	så	
10-20	sætningen	
10-21	giver	
10-22	mening	
10-23	.	
10-24	fuun=	
10-25	uheldig	
10-26	/	
10-27	uheldigt	
10-28	/	
10-29	ond	
10-30	(	
10-31	dårlig	
10-32	)	
10-33	skæbne	
10-34	/	
10-35	skæbne	
10-36	fuun	
10-37	=	
10-38	"	
10-39	hmm	
10-40	"	
10-41	på	
10-42	dansk	
10-43	densetsu	
10-44	:	
10-45	legende	
10-46	(	
10-47	legendarisk	
10-48	)	
10-49	shoukin=dusør	
10-50	kubi=hals	
10-51	(	
10-52	i	
10-53	dette	
10-54	tilfælde	
10-55	en	
10-56	dusør	
10-57	på	
10-58	hans	
10-59	hoved	
10-60	)	
10-61	onime	
10-62	no	
10-63	kyou=Kyo	
10-64	med	
10-65	dæmonøjnene	
10-66	nani	
10-67	nani=	
10-68	?	
10-69	?	
10-70	?	
10-71	?	
10-72	?	
10-73	?	
10-74	te	
10-75	ni	
10-76	ha	
10-77	go	
10-78	shaku=	
10-79	at	
10-80	få	
10-81	/	
10-82	komme	
10-83	i	
10-84	besiddelse	
10-85	af	
10-86	te	
10-87	ni	
10-88	ha	
10-89	=	
10-90	i	
10-91	hånden	
10-92	go	
10-93	shaku	
10-94	=	
10-95	5	
10-96	shaku	
10-97	(	
10-98	ca	
10-99	lig	
10-100	med	
10-101	1	
10-102	,	
10-103	5	
10-104	meter	
10-105	)	
10-106	oodachi=	
10-107	kæmpesværd	

#id=11
#text=Jeghar et enkelt afsnit af det japanske mangablad, Dragon Magazine, og et fødselsdagsnummer af Doraemon:
11-1	Jeg	
11-2	har	
11-3	et	
11-4	enkelt	
11-5	afsnit	
11-6	af	
11-7	det	
11-8	japanske	
11-9	mangablad	
11-10	,	
11-11	Dragon	
11-12	Magazine	
11-13	,	
11-14	og	
11-15	et	
11-16	fødselsdagsnummer	
11-17	af	
11-18	Doraemon	
11-19	:	

#id=12
#text=Ogsåmed Japansk tale. :D Det er meget sjovere at høre de originale stemmer, og de er ofte også bedre end de amerikanske.
12-1	Også	
12-2	med	
12-3	Japansk	
12-4	tale	
12-5	.	
12-6	:	
12-7	D	
12-8	Det	
12-9	er	
12-10	meget	
12-11	sjovere	
12-12	at	
12-13	høre	
12-14	de	
12-15	originale	
12-16	stemmer	
12-17	,	
12-18	og	
12-19	de	
12-20	er	
12-21	ofte	
12-22	også	
12-23	bedre	
12-24	end	
12-25	de	
12-26	amerikanske	
12-27	.	

#id=13
#text=OK.
13-1	OK	
13-2	.	

#id=14
#text=ensjællandsk? :o ok er med :D
14-1	en	
14-2	sjællandsk	
14-3	?	
14-4	:	
14-5	o	
14-6	ok	
14-7	er	
14-8	med	
14-9	:	
14-10	D	

#id=15
#text=Mesterdetektiven Conan bind 4 1400 kr, hvoraf de 500 kr. skal sættes ind på børneopsparingen
15-1	Mesterdetektiven	
15-2	Conan	
15-3	bind	
15-4	4	
15-5	1400	
15-6	kr	
15-7	,	
15-8	hvoraf	
15-9	de	
15-10	500	
15-11	kr	
15-12	.	
15-13	skal	
15-14	sættes	
15-15	ind	
15-16	på	
15-17	børneopsparingen	

#id=16
#text=Okay, tak skal du ha' Alex.
16-1	Okay	
16-2	,	
16-3	tak	
16-4	skal	
16-5	du	
16-6	ha	
16-7	'	
16-8	Alex	
16-9	.	

#id=17
#text=Engelsk
17-1	Engelsk	

#id=18
#text=hehe,det vidste jeg godt i forvejen, men jeg vidste ikke at det var sikkert at det blev Naruto (Jeg fik en email fra Carlsen hvori der stod at de enten ville udgive Kenshin eller Naruto)
18-1	hehe	
18-2	,	
18-3	det	
18-4	vidste	
18-5	jeg	
18-6	godt	
18-7	i	
18-8	forvejen	
18-9	,	
18-10	men	
18-11	jeg	
18-12	vidste	
18-13	ikke	
18-14	at	
18-15	det	
18-16	var	
18-17	sikkert	
18-18	at	
18-19	det	
18-20	blev	
18-21	Naruto	
18-22	(	
18-23	Jeg	
18-24	fik	
18-25	en	
18-26	email	
18-27	fra	
18-28	Carlsen	
18-29	hvori	
18-30	der	
18-31	stod	
18-32	at	
18-33	de	
18-34	enten	
18-35	ville	
18-36	udgive	
18-37	Kenshin	
18-38	eller	
18-39	Naruto	
18-40	)	

#id=19
#text=VELKOMMEN!:D
19-1	VELKOMMEN	
19-2	!	
19-3	:	
19-4	D	

#id=20
#text=Synes nu ikke at den var vildt voldelig i forhold til f.eks. den første.
20-1	Synes	
20-2	nu	
20-3	ikke	
20-4	at	
20-5	den	
20-6	var	
20-7	vildt	
20-8	voldelig	
20-9	i	
20-10	forhold	
20-11	til	
20-12	f	
20-13	.	
20-14	eks	
20-15	.	
20-16	den	
20-17	første	
20-18	.	

#id=21
#text=Eller Hentyder du til at jeg har stjålet min Sig fra 4chan? :D EDIT:
21-1	Eller	
21-2	Hentyder	
21-3	du	
21-4	til	
21-5	at	
21-6	jeg	
21-7	har	
21-8	stjålet	
21-9	min	
21-10	Sig	
21-11	fra	
21-12	4chan	
21-13	?	
21-14	:	
21-15	D	
21-16	EDIT	
21-17	:	

#id=22
#text=Ja,der er kommet mere liv herinde.
22-1	Ja	
22-2	,	
22-3	der	
22-4	er	
22-5	kommet	
22-6	mere	
22-7	liv	
22-8	herinde	
22-9	.	

#id=23
#text=Veddu om der er andre stærke kort ind Exodia og gudekort..
23-1	Ved	
23-2	du	
23-3	om	
23-4	der	
23-5	er	
23-6	andre	
23-7	stærke	
23-8	kort	
23-9	ind	
23-10	Exodia	
23-11	og	
23-12	gudekort	
23-13	.	
23-14	.	

#id=24
#text=Opdateredelige min liste med hvad jeg havde set og læst siden da: bind 1-3 af Mahoromatic, bind 3 af Love Hina, episode 8-13 af Elfen Lied, episode 1-10 af 2x2 = Shinobuden, Zone of Enders OVA'en, episode 1-2 af Bleach, episode 1 af Genshiken og et ukendt antal episoder af Record of Lodoss War.
24-1	Opdaterede	
24-2	lige	
24-3	min	
24-4	liste	
24-5	med	
24-6	hvad	
24-7	jeg	
24-8	havde	
24-9	set	
24-10	og	
24-11	læst	
24-12	siden	
24-13	da	
24-14	:	
24-15	bind	
24-16	1	
24-17	-	
24-18	3	
24-19	af	
24-20	Mahoromatic	
24-21	,	
24-22	bind	
24-23	3	
24-24	af	
24-25	Love	
24-26	Hina	
24-27	,	
24-28	episode	
24-29	8	
24-30	-	
24-31	13	
24-32	af	
24-33	Elfen	
24-34	Lied	
24-35	,	
24-36	episode	
24-37	1	
24-38	-	
24-39	10	
24-40	af	
24-41	2x2	
24-42	=	
24-43	Shinobuden	
24-44	,	
24-45	Zone	
24-46	of	
24-47	Enders	
24-48	OVA	
24-49	'	
24-50	en	
24-51	,	
24-52	episode	
24-53	1	
24-54	-	
24-55	2	
24-56	af	
24-57	Bleach	
24-58	,	
24-59	episode	
24-60	1	
24-61	af	
24-62	Genshiken	
24-63	og	
24-64	et	
24-65	ukendt	
24-66	antal	
24-67	episoder	
24-68	af	
24-69	Record	
24-70	of	
24-71	Lodoss	
24-72	War	
24-73	.	

#id=25
#text=Grunden er at så vil den måske kunne nå at blive udgivet på dansk alt efter om den er populær i udlandet osv.
25-1	Grunden	
25-2	er	
25-3	at	
25-4	så	
25-5	vil	
25-6	den	
25-7	måske	
25-8	kunne	
25-9	nå	
25-10	at	
25-11	blive	
25-12	udgivet	
25-13	på	
25-14	dansk	
25-15	alt	
25-16	efter	
25-17	om	
25-18	den	
25-19	er	
25-20	populær	
25-21	i	
25-22	udlandet	
25-23	osv	
25-24	.	

#id=26
#text=Jeg tror ikke at det er en manga.
26-1	Jeg	
26-2	tror	
26-3	ikke	
26-4	at	
26-5	det	
26-6	er	
26-7	en	
26-8	manga	
26-9	.	

#id=27
#text=Det viste jeg ikke...
27-1	Det	
27-2	viste	
27-3	jeg	
27-4	ikke	
27-5	.	
27-6	.	
27-7	.	

#id=28
#text=Tiltrods for at have set praktisk talt alt han har lavet, så syntes jeg stadig hans Nausicaa of the Valley of the Wind er den bedste anime film jeg nogensinde har set.
28-1	Til	
28-2	trods	
28-3	for	
28-4	at	
28-5	have	
28-6	set	
28-7	praktisk	
28-8	talt	
28-9	alt	
28-10	han	
28-11	har	
28-12	lavet	
28-13	,	
28-14	så	
28-15	syntes	
28-16	jeg	
28-17	stadig	
28-18	hans	
28-19	Nausicaa	
28-20	of	
28-21	the	
28-22	Valley	
28-23	of	
28-24	the	
28-25	Wind	
28-26	er	
28-27	den	
28-28	bedste	
28-29	anime	
28-30	film	
28-31	jeg	
28-32	nogensinde	
28-33	har	
28-34	set	
28-35	.	

#id=29
#text=Jeg syntes det er fint nok de kommer hver anden måned.
29-1	Jeg	
29-2	syntes	
29-3	det	
29-4	er	
29-5	fint	
29-6	nok	
29-7	de	
29-8	kommer	
29-9	hver	
29-10	anden	
29-11	måned	
29-12	.	

#id=30
#text=Kareshi Kanojo no Jijou (His and Her Circumstances). kender ikke selv så meget til den, men ved at anime-serien, instrueret af Hideaki Anno (det meste af serien), skulle være ret så populær.
30-1	Kareshi	
30-2	Kanojo	
30-3	no	
30-4	Jijou	
30-5	(	
30-6	His	
30-7	and	
30-8	Her	
30-9	Circumstances	
30-10	)	
30-11	.	
30-12	kender	
30-13	ikke	
30-14	selv	
30-15	så	
30-16	meget	
30-17	til	
30-18	den	
30-19	,	
30-20	men	
30-21	ved	
30-22	at	
30-23	anime	
30-24	-	
30-25	serien	
30-26	,	
30-27	instrueret	
30-28	af	
30-29	Hideaki	
30-30	Anno	
30-31	(	
30-32	det	
30-33	meste	
30-34	af	
30-35	serien	
30-36	)	
30-37	,	
30-38	skulle	
30-39	være	
30-40	ret	
30-41	så	
30-42	populær	
30-43	.	

#id=31
#text=Spørgi en Special butik om de evt. kan hjælpe dig...
31-1	Spørg	
31-2	i	
31-3	en	
31-4	Special	
31-5	butik	
31-6	om	
31-7	de	
31-8	evt	
31-9	.	
31-10	kan	
31-11	hjælpe	
31-12	dig	
31-13	.	
31-14	.	
31-15	.	

#id=32
#text=Dog må det kun være manga bøger og anime'er du må skrive ind om som du har købt.
32-1	Dog	
32-2	må	
32-3	det	
32-4	kun	
32-5	være	
32-6	manga	
32-7	bøger	
32-8	og	
32-9	anime	
32-10	'	
32-11	er	
32-12	du	
32-13	må	
32-14	skrive	
32-15	ind	
32-16	om	
32-17	som	
32-18	du	
32-19	har	
32-20	købt	
32-21	.	

#id=33
#text=Jeghar set Princess mononoke og Laputa castle in the skies Jeg kan skide godt li begge to, selvom jeg ikke syntes Laputa var specielt god da jeg så den, men jeg har jo gået og tænkt over den :P Anyway de er skide gode begge to !
33-1	Jeg	
33-2	har	
33-3	set	
33-4	Princess	
33-5	mononoke	
33-6	og	
33-7	Laputa	
33-8	castle	
33-9	in	
33-10	the	
33-11	skies	
33-12	Jeg	
33-13	kan	
33-14	skide	
33-15	godt	
33-16	li	
33-17	begge	
33-18	to	
33-19	,	
33-20	selvom	
33-21	jeg	
33-22	ikke	
33-23	syntes	
33-24	Laputa	
33-25	var	
33-26	specielt	
33-27	god	
33-28	da	
33-29	jeg	
33-30	så	
33-31	den	
33-32	,	
33-33	men	
33-34	jeg	
33-35	har	
33-36	jo	
33-37	gået	
33-38	og	
33-39	tænkt	
33-40	over	
33-41	den	
33-42	:	
33-43	P	
33-44	Anyway	
33-45	de	
33-46	er	
33-47	skide	
33-48	gode	
33-49	begge	
33-50	to	
33-51	!	

#id=34
#text=Læreren spurgte om vi skulle noget.
34-1	Læreren	
34-2	spurgte	
34-3	om	
34-4	vi	
34-5	skulle	
34-6	noget	
34-7	.	

#id=35
#text=>_>,man kan ikke engang købe Dragonball i min by, så hvis jeg skal købe noget manga, skal jeg til at tage bussen _ (Og da jeg kunne fare vild i en telefonboks, så......jah >_>)
35-1	>_>	
35-2	,	
35-3	man	
35-4	kan	
35-5	ikke	
35-6	engang	
35-7	købe	
35-8	Dragonball	
35-9	i	
35-10	min	
35-11	by	
35-12	,	
35-13	så	
35-14	hvis	
35-15	jeg	
35-16	skal	
35-17	købe	
35-18	noget	
35-19	manga	
35-20	,	
35-21	skal	
35-22	jeg	
35-23	til	
35-24	at	
35-25	tage	
35-26	bussen	
35-27	_	
35-28	(	
35-29	Og	
35-30	da	
35-31	jeg	
35-32	kunne	
35-33	fare	
35-34	vild	
35-35	i	
35-36	en	
35-37	telefonboks	
35-38	,	
35-39	så	
35-40	.	
35-41	.	
35-42	.	
35-43	.	
35-44	.	
35-45	.	
35-46	jah	
35-47	>_>	
35-48	)	

#id=36
#text=Hans seneste værk "Tokyo Godfathers" blev ganske vel modtaget af  den amerikanske filmpresse.
36-1	Hans	
36-2	seneste	
36-3	værk	
36-4	"	
36-5	Tokyo	
36-6	Godfathers	
36-7	"	
36-8	blev	
36-9	ganske	
36-10	vel	
36-11	modtaget	
36-12	af	
36-13	den	
36-14	amerikanske	
36-15	filmpresse	
36-16	.	

#id=37
#text=Og der går jeg så i 9.klasse.
37-1	Og	
37-2	der	
37-3	går	
37-4	jeg	
37-5	så	
37-6	i	
37-7	9	
37-8	.	
37-9	klasse	
37-10	.	

#id=38
#text=Han var selvfølgelig i krig med mange andre, men var det ikke en af de store "familier".
38-1	Han	
38-2	var	
38-3	selvfølgelig	
38-4	i	
38-5	krig	
38-6	med	
38-7	mange	
38-8	andre	
38-9	,	
38-10	men	
38-11	var	
38-12	det	
38-13	ikke	
38-14	en	
38-15	af	
38-16	de	
38-17	store	
38-18	"	
38-19	familier	
38-20	"	
38-21	.	

#id=39
#text=Jeger 14 år gammel, fylder 15 den 23 juni, sankt hans aften. :)
39-1	Jeg	
39-2	er	
39-3	14	
39-4	år	
39-5	gammel	
39-6	,	
39-7	fylder	
39-8	15	
39-9	den	
39-10	23	
39-11	juni	
39-12	,	
39-13	sankt	
39-14	hans	
39-15	aften	
39-16	.	
39-17	:	
39-18	)	

#id=40
#text=I fantask betaler du 110-175 kr per bind, for importeret manga.
40-1	I	
40-2	fantask	
40-3	betaler	
40-4	du	
40-5	110	
40-6	-	
40-7	175	
40-8	kr	
40-9	per	
40-10	bind	
40-11	,	
40-12	for	
40-13	importeret	
40-14	manga	
40-15	.	

#id=41
#text=Ellerbare Nutella, som det var i dette tilfæde ;)
41-1	Eller	
41-2	bare	
41-3	Nutella	
41-4	,	
41-5	som	
41-6	det	
41-7	var	
41-8	i	
41-9	dette	
41-10	tilfæde	
41-11	;	
41-12	)	

#id=42
#text=jegarbejder på sagen....
42-1	jeg	
42-2	arbejder	
42-3	på	
42-4	sagen	
42-5	.	
42-6	.	
42-7	.	
42-8	.	

#id=43
#text=Prisen for det er 39,50 + 10kr i porto.
43-1	Prisen	
43-2	for	
43-3	det	
43-4	er	
43-5	39	
43-6	,	
43-7	50	
43-8	+	
43-9	10kr	
43-10	i	
43-11	porto	
43-12	.	

#id=44
#text=Detser også lidt anderledes ud i Opera, men det er da læseligt.
44-1	Det	
44-2	ser	
44-3	også	
44-4	lidt	
44-5	anderledes	
44-6	ud	
44-7	i	
44-8	Opera	
44-9	,	
44-10	men	
44-11	det	
44-12	er	
44-13	da	
44-14	læseligt	
44-15	.	

#id=45
#text=Måskeer det bare mig, men jeg finder det altså ret irriterende at der ikke er nogen editing funktion.
45-1	Måske	
45-2	er	
45-3	det	
45-4	bare	
45-5	mig	
45-6	,	
45-7	men	
45-8	jeg	
45-9	finder	
45-10	det	
45-11	altså	
45-12	ret	
45-13	irriterende	
45-14	at	
45-15	der	
45-16	ikke	
45-17	er	
45-18	nogen	
45-19	editing	
45-20	funktion	
45-21	.	

#id=46
#text=Jeghar flere tegninger på min hjemmeside...
46-1	Jeg	
46-2	har	
46-3	flere	
46-4	tegninger	
46-5	på	
46-6	min	
46-7	hjemmeside	
46-8	.	
46-9	.	
46-10	.	

#id=47
#text=Et bind består af mange små og morsomme historier om den orange kat, Michael.
47-1	Et	
47-2	bind	
47-3	består	
47-4	af	
47-5	mange	
47-6	små	
47-7	og	
47-8	morsomme	
47-9	historier	
47-10	om	
47-11	den	
47-12	orange	
47-13	kat	
47-14	,	
47-15	Michael	
47-16	.	

#id=48
#text=jep:D
48-1	jep	
48-2	:	
48-3	D	

#id=49
#text=

#id=50
#text=ArchoN, jeg ved hvor du kan få FMA gratis ( hvis du forstår en hentydning ) 
50-1	ArchoN	
50-2	,	
50-3	jeg	
50-4	ved	
50-5	hvor	
50-6	du	
50-7	kan	
50-8	få	
50-9	FMA	
50-10	gratis	
50-11	(	
50-12	hvis	
50-13	du	
50-14	forstår	
50-15	en	
50-16	hentydning	
50-17	)	

#id=51
#text=hehe...TakFor Tippet 
51-1	hehe	
51-2	.	
51-3	.	
51-4	.	
51-5	Tak	
51-6	For	
51-7	Tippet	

#id=52
#text=De fleste er bare onde, skumle og gennemtænkt helt igennem! mens nogen er lidt sjove..heh..
52-1	De	
52-2	fleste	
52-3	er	
52-4	bare	
52-5	onde	
52-6	,	
52-7	skumle	
52-8	og	
52-9	gennemtænkt	
52-10	helt	
52-11	igennem	
52-12	!	
52-13	mens	
52-14	nogen	
52-15	er	
52-16	lidt	
52-17	sjove	
52-18	.	
52-19	.	
52-20	heh	
52-21	.	
52-22	.	

#id=53
#text=Det er absolut ikke forbudt at lave ekstra! :wink: - ta' endelig s. 10 Jeg håber at der kommer lidt mere drev over det, når Nytåret er skudt ind!
53-1	Det	
53-2	er	
53-3	absolut	
53-4	ikke	
53-5	forbudt	
53-6	at	
53-7	lave	
53-8	ekstra	
53-9	!	
53-10	:	
53-11	wink	
53-12	:	
53-13	-	
53-14	ta	
53-15	'	
53-16	endelig	
53-17	s	
53-18	.	
53-19	10	
53-20	Jeg	
53-21	håber	
53-22	at	
53-23	der	
53-24	kommer	
53-25	lidt	
53-26	mere	
53-27	drev	
53-28	over	
53-29	det	
53-30	,	
53-31	når	
53-32	Nytåret	
53-33	er	
53-34	skudt	
53-35	ind	
53-36	!	

#id=54
#text=Jeg kan godt løfte sløret lidt for hvad der kommer på i næste ombæring.
54-1	Jeg	
54-2	kan	
54-3	godt	
54-4	løfte	
54-5	sløret	
54-6	lidt	
54-7	for	
54-8	hvad	
54-9	der	
54-10	kommer	
54-11	på	
54-12	i	
54-13	næste	
54-14	ombæring	
54-15	.	

#id=55
#text=Hehehe...Detsamme her...tror også lige jeg skal en tur forbi Sydkorea først af samme grund som *wish*...Men der skal skam lige penge til...hehe...
55-1	Hehehe	
55-2	.	
55-3	.	
55-4	.	
55-5	Det	
55-6	samme	
55-7	her	
55-8	.	
55-9	.	
55-10	.	
55-11	tror	
55-12	også	
55-13	lige	
55-14	jeg	
55-15	skal	
55-16	en	
55-17	tur	
55-18	forbi	
55-19	Sydkorea	
55-20	først	
55-21	af	
55-22	samme	
55-23	grund	
55-24	som	
55-25	*wish*	
55-26	.	
55-27	.	
55-28	.	
55-29	Men	
55-30	der	
55-31	skal	
55-32	skam	
55-33	lige	
55-34	penge	
55-35	til	
55-36	.	
55-37	.	
55-38	.	
55-39	hehe	
55-40	.	
55-41	.	
55-42	.	

#id=56
#text=Cool,jeg tjekker det ud nu!
56-1	Cool	
56-2	,	
56-3	jeg	
56-4	tjekker	
56-5	det	
56-6	ud	
56-7	nu	
56-8	!	

#id=57
#text=Denlyder fed! :o
57-1	Den	
57-2	lyder	
57-3	fed	
57-4	!	
57-5	:	
57-6	o	

#id=58
#text=Han har arbejdet som character designer på en del Gaianx titler, og står bag Evangelion mangaen.
58-1	Han	
58-2	har	
58-3	arbejdet	
58-4	som	
58-5	character	
58-6	designer	
58-7	på	
58-8	en	
58-9	del	
58-10	Gaianx	
58-11	titler	
58-12	,	
58-13	og	
58-14	står	
58-15	bag	
58-16	Evangelion	
58-17	mangaen	
58-18	.	

#id=59
#text=Jegvil nu ikke sige at Digimon er en efterligning.
59-1	Jeg	
59-2	vil	
59-3	nu	
59-4	ikke	
59-5	sige	
59-6	at	
59-7	Digimon	
59-8	er	
59-9	en	
59-10	efterligning	
59-11	.	

#id=60
#text=Dernu 14 bind. ;)
60-1	Der	
60-2	nu	
60-3	14	
60-4	bind	
60-5	.	
60-6	;	
60-7	)	

#id=61
#text=Både Mangaer og Marvel....Det bliver snart mange tegneserier, der skal læses...
61-1	Både	
61-2	Mangaer	
61-3	og	
61-4	Marvel	
61-5	.	
61-6	.	
61-7	.	
61-8	.	
61-9	Det	
61-10	bliver	
61-11	snart	
61-12	mange	
61-13	tegneserier	
61-14	,	
61-15	der	
61-16	skal	
61-17	læses	
61-18	.	
61-19	.	
61-20	.	

#id=62
#text=Ok....MyBad...
62-1	Ok	
62-2	.	
62-3	.	
62-4	.	
62-5	.	
62-6	My	
62-7	Bad	
62-8	.	
62-9	.	
62-10	.	

#id=63
#text=Jeg syntes ikke,at den er så fedt......(med noget kedelig handling)
63-1	Jeg	
63-2	syntes	
63-3	ikke	
63-4	,	
63-5	at	
63-6	den	
63-7	er	
63-8	så	
63-9	fedt	
63-10	.	
63-11	.	
63-12	.	
63-13	.	
63-14	.	
63-15	.	
63-16	(	
63-17	med	
63-18	noget	
63-19	kedelig	
63-20	handling	
63-21	)	

#id=64
#text=De enste navne jeg kan huske fra X er Fuuma,  Kamui og Inuki 
64-1	De	
64-2	enste	
64-3	navne	
64-4	jeg	
64-5	kan	
64-6	huske	
64-7	fra	
64-8	X	
64-9	er	
64-10	Fuuma	
64-11	,	
64-12	Kamui	
64-13	og	
64-14	Inuki	

#id=65
#text=Har I også noget på Last exile i dansk Tv?
65-1	Har	
65-2	I	
65-3	også	
65-4	noget	
65-5	på	
65-6	Last	
65-7	exile	
65-8	i	
65-9	dansk	
65-10	Tv	
65-11	?	

#id=66
