
#id=1
#text=IHolstebro tør de ikke lade en skulptur stå ude om natten.
1-1	I	
1-2	Holstebro	
1-3	tør	
1-4	de	
1-5	ikke	
1-6	lade	
1-7	en	
1-8	skulptur	
1-9	stå	
1-10	ude	
1-11	om	
1-12	natten	
1-13	.	

#id=2
#text=Drengenbetragtes af politiet som farlig, og derfor blev han efterlyst med navn og billede, selv om retten har nedlagt navneforbud.
2-1	Drengen	
2-2	betragtes	
2-3	af	
2-4	politiet	
2-5	som	
2-6	farlig	
2-7	,	
2-8	og	
2-9	derfor	
2-10	blev	
2-11	han	
2-12	efterlyst	
2-13	med	
2-14	navn	
2-15	og	
2-16	billede	
2-17	,	
2-18	selv	
2-19	om	
2-20	retten	
2-21	har	
2-22	nedlagt	
2-23	navneforbud	
2-24	.	

#id=3
#text=4.
3-1	4	
3-2	.	

#id=4
#text=30-årige Staal har i denne sæson været på isen for HV 71, der netop har hentet sølv i den svenske eliteserie, men nu trækker hans gamle klub med et attraktivt tilbud.
4-1	30	
4-2	-	
4-3	årige	
4-4	Staal	
4-5	har	
4-6	i	
4-7	denne	
4-8	sæson	
4-9	været	
4-10	på	
4-11	isen	
4-12	for	
4-13	HV	
4-14	71	
4-15	,	
4-16	der	
4-17	netop	
4-18	har	
4-19	hentet	
4-20	sølv	
4-21	i	
4-22	den	
4-23	svenske	
4-24	eliteserie	
4-25	,	
4-26	men	
4-27	nu	
4-28	trækker	
4-29	hans	
4-30	gamle	
4-31	klub	
4-32	med	
4-33	et	
4-34	attraktivt	
4-35	tilbud	
4-36	.	

#id=5
#text=Til den tid forventer regionen at have været igennem en ny udbudsrunde, skriver Dagbladet Ringsted og Sjællandske.
5-1	Til	
5-2	den	
5-3	tid	
5-4	forventer	
5-5	regionen	
5-6	at	
5-7	have	
5-8	været	
5-9	igennem	
5-10	en	
5-11	ny	
5-12	udbudsrunde	
5-13	,	
5-14	skriver	
5-15	Dagbladet	
5-16	Ringsted	
5-17	og	
5-18	Sjællandske	
5-19	.	

#id=6
#text=Ja, det var åbenlyst for alle i den tribunebuldrende hal i den  kroatiske havneby Porec:
6-1	Ja	
6-2	,	
6-3	det	
6-4	var	
6-5	åbenlyst	
6-6	for	
6-7	alle	
6-8	i	
6-9	den	
6-10	tribunebuldrende	
6-11	hal	
6-12	i	
6-13	den	
6-14	kroatiske	
6-15	havneby	
6-16	Porec	
6-17	:	

#id=7
#text="Vived godt, at vi er de bedste.
7-1	"	
7-2	Vi	
7-3	ved	
7-4	godt	
7-5	,	
7-6	at	
7-7	vi	
7-8	er	
7-9	de	
7-10	bedste	
7-11	.	

#id=8
#text=Det er blevet til en serie grafiske kunsttryk, der hver især er produceret i et oplag på 2.000 stk. "Som fagnørder i begge verdener har  vi lagt vægt på et grafisk kunsttryk af høj håndværksmæssig kvalitet", fortæller Anders
8-1	Det	
8-2	er	
8-3	blevet	
8-4	til	
8-5	en	
8-6	serie	
8-7	grafiske	
8-8	kunsttryk	
8-9	,	
8-10	der	
8-11	hver	
8-12	især	
8-13	er	
8-14	produceret	
8-15	i	
8-16	et	
8-17	oplag	
8-18	på	
8-19	2	
8-20	.	
8-21	000	
8-22	stk	
8-23	.	
8-24	"	
8-25	Som	
8-26	fagnørder	
8-27	i	
8-28	begge	
8-29	verdener	
8-30	har	
8-31	vi	
8-32	lagt	
8-33	vægt	
8-34	på	
8-35	et	
8-36	grafisk	
8-37	kunsttryk	
8-38	af	
8-39	høj	
8-40	håndværksmæssig	
8-41	kvalitet	
8-42	"	
8-43	,	
8-44	fortæller	
8-45	Anders	

#id=9
#text=Overfaldsmanden bøjer sig over ham og siger:
9-1	Overfaldsmanden	
9-2	bøjer	
9-3	sig	
9-4	over	
9-5	ham	
9-6	og	
9-7	siger	
9-8	:	

#id=10
#text=Det skulle have stået "lidt mere end halvdelen".
10-1	Det	
10-2	skulle	
10-3	have	
10-4	stået	
10-5	"	
10-6	lidt	
10-7	mere	
10-8	end	
10-9	halvdelen	
10-10	"	
10-11	.	

#id=11
#text=Derer ingen tvivl om, at samtidsforfattere, som kan ramme et stort publikum, også fremover vil få tilbudt store forskud", mener Hans Henrik Schwab.
11-1	Der	
11-2	er	
11-3	ingen	
11-4	tvivl	
11-5	om	
11-6	,	
11-7	at	
11-8	samtidsforfattere	
11-9	,	
11-10	som	
11-11	kan	
11-12	ramme	
11-13	et	
11-14	stort	
11-15	publikum	
11-16	,	
11-17	også	
11-18	fremover	
11-19	vil	
11-20	få	
11-21	tilbudt	
11-22	store	
11-23	forskud	
11-24	"	
11-25	,	
11-26	mener	
11-27	Hans	
11-28	Henrik	
11-29	Schwab	
11-30	.	

#id=12
#text="Ja,det gør jeg.
12-1	"	
12-2	Ja	
12-3	,	
12-4	det	
12-5	gør	
12-6	jeg	
12-7	.	

#id=13
#text=Det er noget, man ikke rigtigt kan forberede sig på", sagde tidligere pilot Denny Walsh til CNN.
13-1	Det	
13-2	er	
13-3	noget	
13-4	,	
13-5	man	
13-6	ikke	
13-7	rigtigt	
13-8	kan	
13-9	forberede	
13-10	sig	
13-11	på	
13-12	"	
13-13	,	
13-14	sagde	
13-15	tidligere	
13-16	pilot	
13-17	Denny	
13-18	Walsh	
13-19	til	
13-20	CNN	
13-21	.	

#id=14
#text=Findesder ikke et eneste stykke papir i Vatikanets kældre om alt det?
14-1	Findes	
14-2	der	
14-3	ikke	
14-4	et	
14-5	eneste	
14-6	stykke	
14-7	papir	
14-8	i	
14-9	Vatikanets	
14-10	kældre	
14-11	om	
14-12	alt	
14-13	det	
14-14	?	

#id=15
#text="Jeghar gang i forhandlinger med arrangørerne af både Giro d'Italia og Vuelta a España, og jeg anser det bestemt for muligt, at vi kommer til start i hvert fald i en af de to store begivenheder allerede i år.
15-1	"	
15-2	Jeg	
15-3	har	
15-4	gang	
15-5	i	
15-6	forhandlinger	
15-7	med	
15-8	arrangørerne	
15-9	af	
15-10	både	
15-11	Giro	
15-12	d	
15-13	'	
15-14	Italia	
15-15	og	
15-16	Vuelta	
15-17	a	
15-18	España	
15-19	,	
15-20	og	
15-21	jeg	
15-22	anser	
15-23	det	
15-24	bestemt	
15-25	for	
15-26	muligt	
15-27	,	
15-28	at	
15-29	vi	
15-30	kommer	
15-31	til	
15-32	start	
15-33	i	
15-34	hvert	
15-35	fald	
15-36	i	
15-37	en	
15-38	af	
15-39	de	
15-40	to	
15-41	store	
15-42	begivenheder	
15-43	allerede	
15-44	i	
15-45	år	
15-46	.	

#id=16
#text=Clint Eastwood spiller sig selv i stålhjelm og kaki.
16-1	Clint	
16-2	Eastwood	
16-3	spiller	
16-4	sig	
16-5	selv	
16-6	i	
16-7	stålhjelm	
16-8	og	
16-9	kaki	
16-10	.	

#id=17
#text=I 2020 skal udledningen af bl.
17-1	I	
17-2	2020	
17-3	skal	
17-4	udledningen	
17-5	af	
17-6	bl	
17-7	.	

#id=18
#text=Historiener noget lignende vor egen klassiker ' Mød mig på Cassiopeia'.
18-1	Historien	
18-2	er	
18-3	noget	
18-4	lignende	
18-5	vor	
18-6	egen	
18-7	klassiker	
18-8	'	
18-9	Mød	
18-10	mig	
18-11	på	
18-12	Cassiopeia	
18-13	'	
18-14	.	

#id=19
#text=IDEN anden af to aktuelle - og i øvrigt ganske komplementerende - biografier på dansk, ' Michelle Obama - en biografi', understøtter Liza Mundy billedet af Michelle Obama som "en lidt gammeldags person, en kvinde, som gerne vil have en traditionel, intakt familie omkring sig ved bordet, og som først og fremmest ser sig selv som mor".
19-1	I	
19-2	DEN	
19-3	anden	
19-4	af	
19-5	to	
19-6	aktuelle	
19-7	-	
19-8	og	
19-9	i	
19-10	øvrigt	
19-11	ganske	
19-12	komplementerende	
19-13	-	
19-14	biografier	
19-15	på	
19-16	dansk	
19-17	,	
19-18	'	
19-19	Michelle	
19-20	Obama	
19-21	-	
19-22	en	
19-23	biografi	
19-24	'	
19-25	,	
19-26	understøtter	
19-27	Liza	
19-28	Mundy	
19-29	billedet	
19-30	af	
19-31	Michelle	
19-32	Obama	
19-33	som	
19-34	"	
19-35	en	
19-36	lidt	
19-37	gammeldags	
19-38	person	
19-39	,	
19-40	en	
19-41	kvinde	
19-42	,	
19-43	som	
19-44	gerne	
19-45	vil	
19-46	have	
19-47	en	
19-48	traditionel	
19-49	,	
19-50	intakt	
19-51	familie	
19-52	omkring	
19-53	sig	
19-54	ved	
19-55	bordet	
19-56	,	
19-57	og	
19-58	som	
19-59	først	
19-60	og	
19-61	fremmest	
19-62	ser	
19-63	sig	
19-64	selv	
19-65	som	
19-66	mor	
19-67	"	
19-68	.	

#id=20
#text=4læserbreve og debatindlæg handlede om Lars Løkkes kvalifikationer til statsministerposten.
20-1	4	
20-2	læserbreve	
20-3	og	
20-4	debatindlæg	
20-5	handlede	
20-6	om	
20-7	Lars	
20-8	Løkkes	
20-9	kvalifikationer	
20-10	til	
20-11	statsministerposten	
20-12	.	

#id=21
#text=Nårman tager ordet for at tage ...
21-1	Når	
21-2	man	
21-3	tager	
21-4	ordet	
21-5	for	
21-6	at	
21-7	tage	
21-8	.	
21-9	.	
21-10	.	

#id=22
#text=Pave Benedikt XVI mener ikke, at kondomer er svaret på kampen mod aids i Afrika.
22-1	Pave	
22-2	Benedikt	
22-3	XVI	
22-4	mener	
22-5	ikke	
22-6	,	
22-7	at	
22-8	kondomer	
22-9	er	
22-10	svaret	
22-11	på	
22-12	kampen	
22-13	mod	
22-14	aids	
22-15	i	
22-16	Afrika	
22-17	.	

#id=23
#text=ole ras.
23-1	ole	
23-2	ras	
23-3	.	

#id=24
#text=Fraførste kvartal 2008 til første kvartal 2009 forsvandt hele 11.200 job i branchen.
24-1	Fra	
24-2	første	
24-3	kvartal	
24-4	2008	
24-5	til	
24-6	første	
24-7	kvartal	
24-8	2009	
24-9	forsvandt	
24-10	hele	
24-11	11	
24-12	.	
24-13	200	
24-14	job	
24-15	i	
24-16	branchen	
24-17	.	

#id=25
#text=Så indtaster man engangskoden og er så logget ind.
25-1	Så	
25-2	indtaster	
25-3	man	
25-4	engangskoden	
25-5	og	
25-6	er	
25-7	så	
25-8	logget	
25-9	ind	
25-10	.	

#id=26
#text=Første betingelse er, at danskerklubberne ikke kommer med i NHL-slutspillet, som er godt i gang, når der spilles VM.
26-1	Første	
26-2	betingelse	
26-3	er	
26-4	,	
26-5	at	
26-6	danskerklubberne	
26-7	ikke	
26-8	kommer	
26-9	med	
26-10	i	
26-11	NHL	
26-12	-	
26-13	slutspillet	
26-14	,	
26-15	som	
26-16	er	
26-17	godt	
26-18	i	
26-19	gang	
26-20	,	
26-21	når	
26-22	der	
26-23	spilles	
26-24	VM	
26-25	.	

#id=27
#text=Beskæftigelsesudvalgetunder den statslige Ankestyrelse behandler typisk klager over kommunal kontanthjælp.
27-1	Beskæftigelsesudvalget	
27-2	under	
27-3	den	
27-4	statslige	
27-5	Ankestyrelse	
27-6	behandler	
27-7	typisk	
27-8	klager	
27-9	over	
27-10	kommunal	
27-11	kontanthjælp	
27-12	.	

#id=28
#text=BoWeymann mener derimod, at filmen og hans fortælling kan være med til at afholde unge mennesker fra at følge i hans fodspor.
28-1	Bo	
28-2	Weymann	
28-3	mener	
28-4	derimod	
28-5	,	
28-6	at	
28-7	filmen	
28-8	og	
28-9	hans	
28-10	fortælling	
28-11	kan	
28-12	være	
28-13	med	
28-14	til	
28-15	at	
28-16	afholde	
28-17	unge	
28-18	mennesker	
28-19	fra	
28-20	at	
28-21	følge	
28-22	i	
28-23	hans	
28-24	fodspor	
28-25	.	

#id=29
#text=Her blev det stormet af tyske elitesoldater, og alle gidsler blev befriet.
29-1	Her	
29-2	blev	
29-3	det	
29-4	stormet	
29-5	af	
29-6	tyske	
29-7	elitesoldater	
29-8	,	
29-9	og	
29-10	alle	
29-11	gidsler	
29-12	blev	
29-13	befriet	
29-14	.	

#id=30
#text=ritzau
30-1	ritzau	

#id=31
#text=De moderate muslimer kender Koranen, de kender argumenterne, og de kan give de unge kvalificeret modspil.
31-1	De	
31-2	moderate	
31-3	muslimer	
