
#id=1
#text=Men senest har han været i rampelyset for sin grove optræden i "Til middag hos...", hvorfra han blev fyret efter to programmer.
1-1	Men	
1-2	senest	
1-3	har	
1-4	han	
1-5	været	
1-6	i	
1-7	rampelyset	
1-8	for	
1-9	sin	
1-10	grove	
1-11	optræden	
1-12	i	
1-13	"	
1-14	Til	
1-15	middag	
1-16	hos	
1-17	.	
1-18	.	
1-19	.	
1-20	"	
1-21	,	
1-22	hvorfra	
1-23	han	
1-24	blev	
1-25	fyret	
1-26	efter	
1-27	to	
1-28	programmer	
1-29	.	

#id=2
#text=Oddset-babenJanni Christensen har sammen med Danske Spil været i Sydafrika for at besøge de smukke og luksuriøse omgivelser
2-1	Oddset	
2-2	-	
2-3	baben	
2-4	Janni	
2-5	Christensen	
2-6	har	
2-7	sammen	
2-8	med	
2-9	Danske	
2-10	Spil	
2-11	været	
2-12	i	
2-13	Sydafrika	
2-14	for	
2-15	at	
2-16	besøge	
2-17	de	
2-18	smukke	
2-19	og	
2-20	luksuriøse	
2-21	omgivelser	

#id=3
#text=Lingerifirmaet Triumph stillede forleden en række næsten bare piger på parade i London  for at gøre opmærksom på, at de har nogle af verdens mest solgte produkter til de intime dele.
3-1	Lingerifirmaet	
3-2	Triumph	
3-3	stillede	
3-4	forleden	
3-5	en	
3-6	række	
3-7	næsten	
3-8	bare	
3-9	piger	
3-10	på	
3-11	parade	
3-12	i	
3-13	London	
3-14	for	
3-15	at	
3-16	gøre	
3-17	opmærksom	
3-18	på	
3-19	,	
3-20	at	
3-21	de	
3-22	har	
3-23	nogle	
3-24	af	
3-25	verdens	
3-26	mest	
3-27	solgte	
3-28	produkter	
3-29	til	
3-30	de	
3-31	intime	
3-32	dele	
3-33	.	

#id=4
#text=Fest, druk og byture Livret:
4-1	Fest	
4-2	,	
4-3	druk	
4-4	og	
4-5	byture	
4-6	Livret	
4-7	:	

#id=5
#text=Bagefterafholdes nytårskur for det diplomatiske korps på Christiansborg.
5-1	Bagefter	
5-2	afholdes	
5-3	nytårskur	
5-4	for	
5-5	det	
5-6	diplomatiske	
5-7	korps	
5-8	på	
5-9	Christiansborg	
5-10	.	

#id=6
#text=Stjernernefunklede om kap, da årets amerikanske musikstatuetter blev uddelt i glimmerbyen Los Angeles.
6-1	Stjernerne	
6-2	funklede	
6-3	om	
6-4	kap	
6-5	,	
6-6	da	
6-7	årets	
6-8	amerikanske	
6-9	musikstatuetter	
6-10	blev	
6-11	uddelt	
6-12	i	
6-13	glimmerbyen	
6-14	Los	
6-15	Angeles	
6-16	.	

#id=7
#text=Er den fra Vestjylland? - Ja, det er den faktisk.
7-1	Er	
7-2	den	
7-3	fra	
7-4	Vestjylland	
7-5	?	
7-6	-	
7-7	Ja	
7-8	,	
7-9	det	
7-10	er	
7-11	den	
7-12	faktisk	
7-13	.	

#id=8
#text=Foto:
8-1	Foto	
8-2	:	

#id=9
#text=28-årigeMartin Axelgaard er godt på vej til at blive en vaskeægte rockstjerne.
9-1	28	
9-2	-	
9-3	årige	
9-4	Martin	
9-5	Axelgaard	
9-6	er	
9-7	godt	
9-8	på	
9-9	vej	
9-10	til	
9-11	at	
9-12	blive	
9-13	en	
9-14	vaskeægte	
9-15	rockstjerne	
9-16	.	

#id=10
#text=Da han begyndte at gå flere etager op ad trapper, så han lys for enden af tunnelen.
10-1	Da	
10-2	han	
10-3	begyndte	
10-4	at	
10-5	gå	
10-6	flere	
10-7	etager	
10-8	op	
10-9	ad	
10-10	trapper	
10-11	,	
10-12	så	
10-13	han	
10-14	lys	
10-15	for	
10-16	enden	
10-17	af	
10-18	tunnelen	
10-19	.	

#id=11
#text=Anurag Bishnoi er endnu en gang tilfreds med sit arbejde: - Alle tre er sunde børn.
11-1	Anurag	
11-2	Bishnoi	
11-3	er	
11-4	endnu	
11-5	en	
11-6	gang	
11-7	tilfreds	
11-8	med	
11-9	sit	
11-10	arbejde	
11-11	:	
11-12	-	
11-13	Alle	
11-14	tre	
11-15	er	
11-16	sunde	
11-17	børn	
11-18	.	

#id=12
#text=-veltalende nordjyde, har sammen med journalistkollegaen Søren Kaster ramt en guldåre.
12-1	-	
12-2	veltalende	
12-3	nordjyde	
12-4	,	
12-5	har	
12-6	sammen	
12-7	med	
12-8	journalistkollegaen	
12-9	Søren	
12-10	Kaster	
12-11	ramt	
12-12	en	
12-13	guldåre	
12-14	.	

#id=13
#text=eftertrag tet skuespiller, kan ikke nøjes med at h øste hæder herhjemme.
13-1	efte	
13-2	rtrag	
13-3	tet	
13-4	skuespiller	
13-5	,	
13-6	kan	
13-7	ikke	
13-8	nøjes	
13-9	med	
13-10	at	
13-11	h	
13-12	øste	
13-13	hæder	
13-14	herhjemme	
13-15	.	

#id=14
#text=Privat er han udstyret med et dårligt sovehjerte og stresser helt vildt over at t ale i telefon.
14-1	Privat	
14-2	er	
14-3	han	
14-4	udstyret	
14-5	med	
14-6	et	
14-7	dårligt	
14-8	sovehjerte	
14-9	og	
14-10	stresser	
14-11	helt	
14-12	vildt	
14-13	over	
14-14	at	
14-15	t	
14-16	ale	
14-17	i	
14-18	telefon	
14-19	.	

#id=15
#text=Derer tale om otte programmer med  ca. 200 sketcher under fællestitlen " Store Stygge Ulfshow", og de bliver sendt i det nye år.
15-1	Der	
15-2	er	
15-3	tale	
15-4	om	
15-5	otte	
15-6	programmer	
15-7	med	
15-8	ca	
15-9	.	
15-10	200	
15-11	sketcher	
15-12	under	
15-13	fællestitlen	
15-14	"	
15-15	Store	
15-16	Stygge	
15-17	Ulfshow	
15-18	"	
15-19	,	
15-20	og	
15-21	de	
15-22	bliver	
15-23	sendt	
15-24	i	
15-25	det	
15-26	nye	
15-27	år	
15-28	.	

#id=16
#text=Hun er mor til en søn og farmor til to teenagebørn.
16-1	Hun	
16-2	er	
16-3	mor	
16-4	til	
16-5	en	
16-6	søn	
16-7	og	
16-8	farmor	
16-9	til	
16-10	to	
16-11	teenagebørn	
16-12	.	

#id=17
#text=Vandmanden Kæreste:
17-1	Vandmanden	
17-2	Kæreste	
17-3	:	

#id=18
#text=Det skaber dog en del forviklinger og skepsis.
18-1	Det	
18-2	skaber	
18-3	dog	
18-4	en	
18-5	del	
18-6	forviklinger	
18-7	og	
18-8	skepsis	
18-9	.	

#id=19
#text=Sidsteår blev uret Big Ben lavet i strå, og denne gang har han og personalet kreeret en ti meter høj statue, der forestiller en lækat.
19-1	Sidste	
19-2	år	
19-3	blev	
19-4	uret	
19-5	Big	
19-6	Ben	
19-7	lavet	
19-8	i	
19-9	strå	
19-10	,	
19-11	og	
19-12	denne	
19-13	gang	
19-14	har	
19-15	han	
19-16	og	
19-17	personalet	
19-18	kreeret	
19-19	en	
19-20	ti	
19-21	meter	
19-22	høj	
19-23	statue	
19-24	,	
19-25	der	
19-26	forestiller	
19-27	en	
