 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Danmarkshotteste par nød foråret og hinanden - og fik besøg af hans forældre
1-1	Danmarks	Danmark	NP:sig#:--:----	O	
1-2	hotteste	hot	AC:§du§:--:s---	B-adj.all	
1-3	par	par	NC:piu#:--:----	B-noun.quantity|B-noun.TOP|B-noun.person|B-noun.group	
1-4	nød	nyde	VF:----:ta:----	B-verb.emotion|B-verb.communication|B-verb.act|B-verb.social	
1-5	foråret	forår	NC:sdun:--:----	B-noun.time	
1-6	og	og	CC:----:--:----	O	
1-7	hinanden	hinanden	XY:----:--:----	O	
1-8	-	-	ZH	O	
1-9	og	og	CC:----:--:----	O	
1-10	fik	få	VF:----:ta:----	B-verb.change|B-verb.phenomenon|B-verb.act|B-verb.possession	
1-11	besøg	besøg	NC:siun:--:----	B-noun.act	
1-12	af	af	T-:----:--:----	O	
1-13	hans	hans	PO:#--#:--:-3ns	O	
1-14	forældre	forælder	NC:piu#:--:----	B-noun.animal|B-noun.person	

#id=2
#text=Juleaftentilbragte Charlotte Dyremose, hendes mand Jacob Bræstrup og Christian hos de nybagte morforældre, Elly Dyremose og tidl. minister og tidl. direktør i TDC Henning Dyremose.
2-1	Juleaften	juleaften	NC:siuc:--:----	B-noun.time	
2-2	tilbragte	tilbringe	VF:----:ta:----	B-verb.stative|B-verb.act	
2-3	Charlotte	Charlotte	NP:siu#:--:----	O	
2-4	Dyremose	Dyremose	NP:siu#:--:----	O	
2-5	,	,	ZD	O	
2-6	hendes	hendes	PO:#--#:--:-3ns	O	
2-7	mand	mand	NC:siuc:--:----	B-noun.object|B-noun.person	
2-8	Jacob	Jacob	NP:siu#:--:----	O	
2-9	Bræstrup	Bræstrup	NP:siu#:--:----	O	
2-10	og	og	CC:----:--:----	O	
2-11	Christian	Christian	NP:siu#:--:----	O	
2-12	hos	hos	T-:----:--:----	O	
2-13	de	den	PM:p-u#:--:----	O	
2-14	nybagte	nybagt	AC:p#u#:--:p---	O	
2-15	morforældre	morforældre	NC:piu#:--:----	B-noun.person	
2-16	,	,	ZD	O	
2-17	Elly	Elly	NP:siu#:--:----	O	
2-18	Dyremose	Dyremose	NP:siu#:--:----	O	
2-19	og	og	---	O	
2-20	tidl	tideciliter	NC:piu#:--:----	O	
2-21	.	.	ZP	O	
2-22	minister	minister	NC:siuc:--:----	B-noun.body	
2-23	og	og	CC:----:--:----	O	
2-24	tidl	tideciliter	NC:piu#:--:----	O	
2-25	.	.	ZP	O	
2-26	direktør	direktør	NC:siuc:--:----	B-noun.communication|B-noun.person	
2-27	i	i	T-:----:--:----	O	
2-28	TDC	TDC	NP:siu#:--:----	O	
2-29	Henning	Henning	NP:siu#:--:----	O	
2-30	Dyremose	Dyremose	NP:siu#:--:----	O	
2-31	.	.	ZP	O	

#id=3
#text=Ja Stilling:
3-1	Ja	ja	I-:----:--:----	O	
3-2	Stilling	stilling	NC:siuc:--:----	B-noun.communication|B-noun.quantity|B-noun.phenomenon|B-noun.cognition|B-noun.person|B-noun.attribute	
3-3	:	:	ZP	O	

#id=4
#text=For tiden er de to superstjerner på turné rundt i Europa, hvor de promoverer deres nye fælles film " The Bounty Hunter", og da de besøgte Paris, var der en opmærksom fotograf, som tog nogle billeder af de to " venner", uden at de bemærkede det.
4-1	For	for	T-:----:--:----	O	
4-2	tiden	tid	NC:sduc:--:----	B-noun.communication|B-noun.attribute|B-noun.motive|B-noun.time|B-noun.quantity|B-noun.TOP	
4-3	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
4-4	de	den	PM:p-u#:--:----	O	
4-5	to	to	LC:--u-:--:----	O	
4-6	superstjerner	superstjerne	NC:piu#:--:----	B-noun.person	
4-7	på	på	T-:----:--:----	O	
4-8	turné	turné	NC:siuc:--:----	B-noun.act	
4-9	rundt	rundt	D-:----:--:u---	O	
4-10	i	i	T-:----:--:----	O	
4-11	Europa	Europa	NP:siu#:--:----	O	
4-12	,	,	ZD	O	
4-13	hvor	hvor	D-:----:--:u---	O	
4-14	de	de	PP:p-n#:--:-3n-	O	
4-15	promoverer	promovere	VF:----:sa:----	B-verb.act|B-verb.communication	
4-16	deres	deres	PO:#--#:--:-3np	O	
4-17	nye	ny	AC:sdu#:--:p---	B-adj.time	
4-18	fælles	fælles	AC:§§u§:--:p---	B-adj.social	
4-19	film	film	NC:siuc:--:----	B-noun.object|B-noun.container|B-noun.artifact	
4-20	"	"	ZI	O	
4-21	The	The	XF:---:--:----	O	
4-22	Bounty	Bounty	NP:siu#:--:----	O	
4-23	Hunter	Hunter	NP:siu#:--:----	O	
4-24	"	"	ZI	O	
4-25	,	,	ZD	O	
4-26	og	og	CC:----:--:----	O	
4-27	da	da	CS:----:--:----	O	
4-28	de	de	PP:p-n#:--:-3n-	O	
4-29	besøgte	besøge	VF:----:ta:----	B-verb.change|B-verb.act	
4-30	Paris	Paris	NP:siu#:--:----	B-noun.quantity	
4-31	,	,	ZD	O	
4-32	var	være	VF:----:ta:----	B-verb.TOP|B-verb.social|B-verb.stative	
4-33	der	der	US:----:--:----	O	
4-34	en	en	-:----	O	
4-35	opmærksom	opmærksom	AC:siuc:--:p---	B-adj.mental	
4-36	fotograf	fotograf	NC:siuc:--:----	B-noun.person	
4-37	,	,	ZD	O	
4-38	som	som	US:----:--:----	O	
4-39	tog	tage	VF:----:ta:----	B-verb.motion|B-verb.cognition|B-verb.creation|B-verb.act|B-verb.change|B-verb.social|B-verb.possession	
4-40	nogle	nogen	PI:p-u#:--:----	O	
4-41	billeder	billede	NC:piu#:--:----	B-noun.object|B-noun.artifact|B-noun.cognition	
4-42	af	af	T-:----:--:----	O	
4-43	de	den	PM:p-u#:--:----	O	
4-44	to	to	LC:--u-:--:----	O	
4-45	"	"	ZI	O	
4-46	venner	ven	NC:piu#:--:----	B-noun.person	
4-47	"	"	ZI	O	
4-48	,	,	ZD	O	
4-49	uden	uden	D-:----:--:u---	O	
4-50	at	at	CS:----:--:----	O	
4-51	de	de	PP:p-n#:--:-3n-	O	
4-52	bemærkede	bemærke	VF:----:ta:----	B-verb.emotion|B-verb.communication	
4-53	det	det	PP:s-un:--:-3n-	O	
4-54	.	.	ZP	O	

#id=5
#text=Han ligner en Jackson, han danser som en Jackson, sagde Michaels far Joe til ABC News kort tid efter.
5-1	Han	han	PP:s-nc:--:-3n-	O	
