 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Tags:gæsteblogge, Madbevægelsen, madopskrifter
1-1	Tags	B-noun.act|B-noun.feeling|B-noun.artifact	tag	NC:piu#:--:----	
1-2	:	O	:	ZP	
1-3	gæsteblogge	O	gæsteblogge	VI:----:-a:----	
1-4	,	O	,	ZD	
1-5	Madbevægelsen	O	Madbevægelsen	NP:siu#:--:----	
1-6	,	O	,	ZD	
1-7	madopskrifter	B-noun.communication	madopskrift	NC:piu#:--:----	

#id=2
#text=Hmmmjeg har jo overgivet mig og har lagt reklamer på den lille ny, Blogkvinder 40+, i håb om at få dækket nogen af driftomkostningerne (vist naivt indtjeningen indtil nu har  været 5 kroner i alt!).
2-1	Hmmm	O	Hmmm	NP:siu#:--:----	
2-2	jeg	O	jeg	NC:siun:--:----	
2-3	har	B-verb.perception|B-verb.communication|B-verb.phenomenon|B-verb.act|B-verb.cognition|B-verb.TOP	have	VF:----:sa:----	
2-4	jo	O	jo	D-:----:--:u---	
2-5	overgivet	O	overgive	VT:siu#:t-:----	
2-6	mig	O	jeg	PP:s-uc:--:-1#-	
2-7	og	O	og	CC:----:--:----	
2-8	har	B-verb.perception|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.cognition|B-verb.TOP	have	VF:----:sa:----	
2-9	lagt	B-verb.motion|B-verb.act|B-verb.cognition	lægge	VT:siu#:t-:----	
2-10	reklamer	B-noun.act|B-noun.artifact|B-noun.communication	reklame	NC:piu#:--:----	
2-11	på	O	på	T-:----:--:----	
2-12	den	O	den	PM:s-uc:--:----	
2-13	lille	B-adj.phys	lille	AC:s§u§:--:p---	
2-14	ny	B-adj.time	ny	AC:siuc:--:p---	
2-15	,	O	,	ZD	
2-16	Blogkvinder	O	Blogkvinder	NP:siu#:--:----	
2-17	40+	O	40+	NP:siu#:--:----	
2-18	,	O	,	ZD	
2-19	i	O	i	T-:----:--:----	
2-20	håb	B-noun.person|B-noun.feeling	håb	NC:siun:--:----	
2-21	om	O	om	T-:----:--:----	
2-22	at	O	at	UI:----:--:----	
2-23	få	B-verb.change|B-verb.phenomenon|B-verb.act|B-verb.possession	få	VI:----:-a:----	
2-24	dækket	B-verb.act	dække	VT:siu#:t-:----	
2-25	nogen	O	nogen	PI:s-uc:--:----	
2-26	af	O	af	T-:----:--:----	
2-27	driftomkostningerne	O	driftomkostning	NC:pdu#:--:----	
2-28	(	O	(	ZD	
2-29	vist	O	vist	D-:----:--:u---	
2-30	naivt	B-adj.mental	naiv	AD:----:--:p---	
2-31	indtjeningen	B-noun.quantity	indtjening	NC:sduc:--:----	
2-32	indtil	O	indtil	T-:----:--:----	
2-33	nu	O	nu	D-:----:--:u---	
2-34	har	B-verb.perception|B-verb.communication|B-verb.cognition|B-verb.act|B-verb.phenomenon|B-verb.TOP	have	VF:----:sa:----	
2-35	været	B-verb.TOP|B-verb.social|B-verb.stative	være	VT:siu#:t-:----	
2-36	5	O	5	LC:--u-:--:----	
2-37	kroner	B-noun.plant|B-noun.artifact|B-noun.attribute|B-noun.body	krone	NC:piu#:--:----	
2-38	i	O	i	T-:----:--:----	
2-39	alt	O	al	PI:s-un:--:----	
2-40	!	O	!	ZP	
2-41	)	O	)	ZD	
2-42	.	O	.	ZP	

#id=3
#text=Detteindlæg blev udgivet den søndag, 23. november 2008 kl. 13:30 og er gemt i Min have, Vejr.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
3-1	Dette	O	denne	PM:s-un:--:----	
3-2	indlæg	B-noun.act|B-noun.artifact|B-noun.communication	indlæg	NC:siun:--:----	
3-3	blev	B-verb.TOP|B-verb.act|B-verb.stative	blive	VF:----:ta:----	
3-4	udgivet	B-verb.communication	udgive	VT:siu#:t-:----	
3-5	den	O	den	PM:s-uc:--:----	
3-6	søndag	B-noun.time	søndag	NC:siuc:--:----	
3-7	,	O	,	ZD	
3-8	23	O	23	LC:--u-:--:----	
3-9	.	O	.	ZP	
3-10	november	B-noun.time	november	NC:siuc:--:----	
3-11	2008	O	2008	LC:--u-:--:----	
3-12	kl	O	kl	XS:----:--:----	
3-13	.	O	.	ZP	
3-14	13	O	13	LC:--u-:--:----	
3-15	:	O	:	ZP	
3-16	30	O	30	LC:--u-:--:----	
3-17	og	O	og	CC:----:--:----	
3-18	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
3-19	gemt	B-verb.motion	gemme	VT:siu#:t-:----	
3-20	i	O	i	T-:----:--:----	
3-21	Min	O	min	PO:s--c:--:-1ns	
3-22	have	B-noun.location|B-noun.quantity	have	NC:siuc:--:----	
3-23	,	O	,	ZD	
3-24	Vejr	B-noun.phenomenon	vejr	NC:siun:--:----	
3-25	.	O	.	ZP	
3-26	Du	O	du	PP:s-nc:--:-2n-	
3-27	kan	B-verb.social	kunne	VF:----:sa:----	
3-28	følge	B-verb.motion	følge	VI:----:-a:----	
3-29	alle	O	al	PI:p-u#:--:----	
3-30	svar	B-noun.communication|B-noun.act|B-noun.person|B-noun.cognition	svar	NC:piu#:--:----	
3-31	til	O	til	T-:----:--:----	
3-32	dette	O	denne	PM:s-un:--:----	
3-33	indlæg	B-noun.act|B-noun.artifact|B-noun.communication	indlæg	NC:siun:--:----	
3-34	via	O	via	T-:----:--:----	
3-35	RSS	O	rss	XS:----:--:----	
3-36	2	O	2	LC:--u-:--:----	
3-37	.	O	.	ZP	
3-38	0	O	0	LC:--u-:--:----	
3-39	-	O	-	ZH	
3-40	feedet	O	feed	NC:sdun:--:----	
3-41	.	O	.	ZP	

#id=4
#text=Men en fridag på en mandag falder i den uovertrufne kategori.
4-1	Men	O	men	CC:----:--:----	
4-2	en	O	en	PI:s-uc:--:----	
4-3	fridag	B-noun.time	fridag	NC:siuc:--:----	
4-4	på	O	på	T-:----:--:----	
4-5	en	O	en	PI:s-uc:--:----	
4-6	mandag	B-noun.time	mandag	NC:siuc:--:----	
4-7	falder	B-verb.motion|B-verb.act|B-verb.phenomenon	falde	VF:----:sa:----	
4-8	i	O	i	T-:----:--:----	
4-9	den	O	den	PM:s-uc:--:----	
4-10	uovertrufne	B-adj.all	uovertruffen	AC:sdu#:--:p---	
4-11	kategori	B-noun.TOP	kategori	NC:siuc:--:----	
4-12	.	O	.	ZP	

#id=5
#text=Skønt at I er her jeg glæder mig til at møde nogen af jer til blogtræffet næste lørdag!
5-1	Skønt	O	skønt	CS:----:--:----	
5-2	at	O	at	CS:----:--:----	
5-3	I	O	I	PP:p-nc:--:-2n-	
5-4	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
5-5	her	O	her	D-:----:--:u---	
5-6	jeg	O	jeg	PP:s-nc:--:-1n-	
5-7	glæder	B-verb.change	glæde	VF:----:sa:----	
5-8	mig	O	jeg	PP:s-uc:--:-1#-	
5-9	til	O	til	T-:----:--:----	
5-10	at	O	at	UI:----:--:----	
5-11	møde	B-verb.social|B-verb.act|B-verb.perception|B-verb.motion	møde	VI:----:-a:----	
5-12	nogen	O	nogen	PI:s-uc:--:----	
5-13	af	O	af	T-:----:--:----	
5-14	jer	O	jer	XY:----:--:----	
5-15	til	O	til	T-:----:--:----	
5-16	blogtræffet	O	blogtræf	NC:sdun:--:----	
5-17	næste	O	næste	AC:§§u§:--:p---	
5-18	lørdag	B-noun.time	lørdag	NC:siuc:--:----	
5-19	!	O	!	ZP	

#id=6
#text=Update:
6-1	Update	O	Update	NP:siu#:--:----	
6-2	:	O	:	ZP	

#id=7
#text=Modtagerdu også mails med mærkelige tilbud om personlig assistance?
7-1	Modtager	B-verb.social|B-verb.communication|B-verb.phenomenon	modtage	VF:----:sa:----	
7-2	du	O	du	PP:s-nc:--:-2n-	
7-3	også	O	også	D-:----:--:u---	
7-4	mails	O	mail	NC:piu#:--:----	
7-5	med	O	med	T-:----:--:----	
7-6	mærkelige	O	mærkelig	AC:p#u#:--:p---	
7-7	tilbud	B-noun.act|B-noun.TOP|B-noun.possession	tilbud	NC:piu#:--:----	
7-8	om	O	om	T-:----:--:----	
7-9	personlig	B-adj.social|B-adj.all	personlig	AC:siuc:--:p---	
7-10	assistance	B-noun.act	assistance	NC:siuc:--:----	
7-11	?	O	?	ZQ	

#id=8
#text=Men bloggeriet kan føre andre spændende ting end dialog med sig.
8-1	Men	O	men	CC:----:--:----	
8-2	bloggeriet	O	bloggeri	VT:siu#:t-:----	
